LAT,LON,TIME,WIND,PR,STAT
19.70,-83.20,09/01/06Z,40,-,TROPICAL STORM
19.90,-83.20,09/01/12Z,45,-,TROPICAL STORM
20.10,-83.20,09/01/18Z,50,-,TROPICAL STORM
20.30,-83.20,09/02/00Z,50,-,TROPICAL STORM
20.50,-83.30,09/02/06Z,55,-,TROPICAL STORM
20.70,-83.30,09/02/12Z,55,996,TROPICAL STORM
20.90,-83.20,09/02/18Z,55,995,TROPICAL STORM
21.40,-82.70,09/03/00Z,70,-,HURRICANE-1
21.50,-82.60,09/03/01Z,70,-,HURRICANE-1
22.40,-82.40,09/03/06Z,80,-,HURRICANE-1
22.70,-82.30,09/03/07Z,80,-,HURRICANE-1
23.80,-82.30,09/03/12Z,75,980,HURRICANE-1
24.90,-82.60,09/03/18Z,75,980,HURRICANE-1
26.20,-82.80,09/04/00Z,80,-,HURRICANE-1
27.10,-83.30,09/04/06Z,85,-,HURRICANE-2
27.70,-83.50,09/04/12Z,85,973,HURRICANE-2
28.00,-83.80,09/04/18Z,85,973,HURRICANE-2
28.10,-83.70,09/05/00Z,95,-,HURRICANE-2
28.50,-83.30,09/05/06Z,105,-,HURRICANE-3
28.80,-83.00,09/05/12Z,105,-,HURRICANE-3
29.10,-82.80,09/05/17Z,105,960,HURRICANE-3
29.10,-82.80,09/05/18Z,105,960,HURRICANE-3
28.70,-82.80,09/06/00Z,95,-,HURRICANE-2
28.50,-82.70,09/06/04Z,90,-,HURRICANE-2
28.40,-82.60,09/06/06Z,75,-,HURRICANE-1
28.20,-82.10,09/06/12Z,60,-,TROPICAL STORM
28.60,-81.70,09/06/18Z,40,-,TROPICAL STORM
29.30,-81.60,09/07/00Z,40,-,TROPICAL STORM
30.20,-81.90,09/07/06Z,35,-,TROPICAL STORM
31.20,-83.00,09/07/12Z,30,-,TROPICAL DEPRESSION
32.00,-84.80,09/07/18Z,25,-,TROPICAL DEPRESSION
33.10,-85.90,09/08/00Z,25,-,TROPICAL DEPRESSION
33.90,-87.00,09/08/06Z,20,-,TROPICAL DEPRESSION
35.20,-88.30,09/08/12Z,20,-,TROPICAL DEPRESSION
35.20,-88.50,09/08/18Z,20,-,TROPICAL DEPRESSION
35.30,-89.30,09/09/00Z,20,-,TROPICAL DEPRESSION
35.00,-89.80,09/09/06Z,20,-,TROPICAL DEPRESSION
35.60,-89.90,09/09/12Z,20,-,TROPICAL DEPRESSION
35.90,-90.20,09/09/18Z,20,-,TROPICAL DEPRESSION
