LAT,LON,TIME,WIND,PR,STAT
25.60,-88.40,10/01/06Z,30,-,TROPICAL DEPRESSION
25.80,-88.50,10/01/12Z,30,-,TROPICAL DEPRESSION
26.00,-88.60,10/01/18Z,35,-,TROPICAL STORM
26.10,-88.90,10/02/00Z,35,-,TROPICAL STORM
26.30,-89.50,10/02/06Z,35,-,TROPICAL STORM
26.40,-90.30,10/02/12Z,35,-,TROPICAL STORM
26.20,-91.10,10/02/18Z,40,-,TROPICAL STORM
26.00,-92.10,10/03/00Z,40,-,TROPICAL STORM
25.50,-93.50,10/03/06Z,40,-,TROPICAL STORM
25.00,-94.80,10/03/12Z,40,-,TROPICAL STORM
24.70,-95.80,10/03/18Z,40,-,TROPICAL STORM
24.40,-96.60,10/04/00Z,40,-,TROPICAL STORM
24.00,-97.20,10/04/06Z,35,-,TROPICAL STORM
23.50,-97.80,10/04/12Z,30,-,TROPICAL DEPRESSION
23.00,-98.40,10/04/18Z,25,-,TROPICAL DEPRESSION
