LAT,LON,TIME,WIND,PR,STAT
23.30,-90.40,10/08/06Z,35,-,TROPICAL STORM
23.30,-91.00,10/08/12Z,40,-,TROPICAL STORM
23.10,-91.60,10/08/18Z,45,-,TROPICAL STORM
22.40,-92.20,10/09/00Z,45,1002,TROPICAL STORM
21.80,-92.70,10/09/06Z,50,-,TROPICAL STORM
21.30,-93.20,10/09/12Z,55,-,TROPICAL STORM
20.80,-93.80,10/09/18Z,65,-,HURRICANE-1
20.50,-94.30,10/10/00Z,75,990,HURRICANE-1
20.20,-94.70,10/10/06Z,80,-,HURRICANE-1
19.80,-95.10,10/10/12Z,85,-,HURRICANE-2
19.40,-95.40,10/10/18Z,90,980,HURRICANE-2
19.10,-95.70,10/11/00Z,90,-,HURRICANE-2
18.90,-95.90,10/11/04Z,90,-,HURRICANE-2
18.80,-95.90,10/11/06Z,75,-,HURRICANE-1
18.50,-96.00,10/11/12Z,40,-,TROPICAL STORM
18.20,-96.00,10/11/18Z,25,-,TROPICAL DEPRESSION
