LAT,LON,TIME,WIND,PR,STAT
28.00,-64.60,05/15/06Z,25,-,TROPICAL DEPRESSION
30.00,-66.50,05/15/12Z,25,-,TROPICAL DEPRESSION
30.80,-67.10,05/15/18Z,25,-,TROPICAL DEPRESSION
31.40,-68.50,05/16/00Z,25,-,TROPICAL DEPRESSION
31.90,-70.80,05/16/06Z,30,-,TROPICAL DEPRESSION
31.80,-73.20,05/16/12Z,30,-,TROPICAL DEPRESSION
31.00,-75.30,05/16/18Z,35,-,TROPICAL STORM
30.10,-77.10,05/17/00Z,40,-,TROPICAL STORM
29.40,-78.20,05/17/06Z,55,-,TROPICAL STORM
28.70,-78.60,05/17/12Z,65,-,HURRICANE-1
28.00,-78.80,05/17/18Z,65,-,HURRICANE-1
27.30,-78.70,05/18/00Z,70,-,HURRICANE-1
26.90,-78.20,05/18/06Z,70,-,HURRICANE-1
27.00,-77.70,05/18/12Z,75,-,HURRICANE-1
27.20,-77.30,05/18/18Z,80,-,HURRICANE-1
27.40,-77.00,05/19/00Z,80,-,HURRICANE-1
27.70,-76.70,05/19/06Z,80,-,HURRICANE-1
28.10,-76.30,05/19/12Z,80,-,HURRICANE-1
28.80,-76.00,05/19/18Z,80,-,HURRICANE-1
29.70,-75.80,05/20/00Z,80,-,HURRICANE-1
30.60,-75.60,05/20/06Z,85,-,HURRICANE-2
31.50,-75.40,05/20/12Z,90,-,HURRICANE-2
32.40,-75.30,05/20/18Z,90,-,HURRICANE-2
33.20,-75.20,05/21/00Z,95,-,HURRICANE-2
34.40,-74.70,05/21/06Z,100,-,HURRICANE-3
35.50,-74.20,05/21/12Z,100,-,HURRICANE-3
35.90,-73.60,05/21/18Z,100,-,HURRICANE-3
36.20,-73.00,05/22/00Z,95,-,HURRICANE-2
36.50,-72.20,05/22/06Z,90,-,HURRICANE-2
36.60,-71.20,05/22/12Z,85,-,HURRICANE-2
36.60,-70.20,05/22/18Z,80,-,HURRICANE-1
36.50,-69.00,05/23/00Z,70,-,HURRICANE-1
36.40,-67.00,05/23/06Z,60,-,TROPICAL STORM
36.50,-65.00,05/23/12Z,50,-,TROPICAL STORM
37.10,-63.60,05/23/18Z,45,-,EXTRATROPICAL STORM
37.90,-62.30,05/24/00Z,45,-,EXTRATROPICAL STORM
38.70,-61.20,05/24/06Z,45,-,EXTRATROPICAL STORM
39.50,-60.00,05/24/12Z,45,-,EXTRATROPICAL STORM
40.10,-59.20,05/24/18Z,45,-,EXTRATROPICAL STORM
