LAT,LON,TIME,WIND,PR,STAT
16.70,-58.40,08/31/06Z,60,-,TROPICAL STORM
17.30,-58.70,08/31/12Z,60,-,TROPICAL STORM
17.80,-59.00,08/31/18Z,60,-,TROPICAL STORM
18.20,-59.30,09/01/00Z,65,-,HURRICANE-1
18.60,-59.50,09/01/06Z,70,1003,HURRICANE-1
19.00,-59.80,09/01/12Z,75,-,HURRICANE-1
19.90,-60.30,09/01/18Z,80,1003,HURRICANE-1
21.00,-61.00,09/02/00Z,85,-,HURRICANE-2
21.90,-61.90,09/02/06Z,90,-,HURRICANE-2
22.80,-63.00,09/02/12Z,95,-,HURRICANE-2
23.70,-64.20,09/02/18Z,95,-,HURRICANE-2
24.50,-65.30,09/03/00Z,100,-,HURRICANE-3
25.20,-66.40,09/03/06Z,100,-,HURRICANE-3
25.90,-67.40,09/03/12Z,100,993,HURRICANE-3
26.80,-68.40,09/03/18Z,105,-,HURRICANE-3
27.70,-69.40,09/04/00Z,105,-,HURRICANE-3
28.70,-70.20,09/04/06Z,105,-,HURRICANE-3
29.70,-70.70,09/04/12Z,105,-,HURRICANE-3
30.70,-71.10,09/04/18Z,105,-,HURRICANE-3
31.60,-71.30,09/05/00Z,105,-,HURRICANE-3
32.40,-71.20,09/05/06Z,105,-,HURRICANE-3
33.00,-71.00,09/05/12Z,105,-,HURRICANE-3
33.50,-70.60,09/05/18Z,100,-,HURRICANE-3
33.90,-70.20,09/06/00Z,100,-,HURRICANE-3
34.30,-69.90,09/06/06Z,100,-,HURRICANE-3
34.80,-69.60,09/06/12Z,95,981,HURRICANE-2
35.80,-68.60,09/06/18Z,95,-,HURRICANE-2
36.90,-67.10,09/07/00Z,90,-,HURRICANE-2
38.00,-65.70,09/07/06Z,85,-,HURRICANE-2
39.00,-64.00,09/07/12Z,80,-,HURRICANE-1
40.40,-61.10,09/07/18Z,75,969,HURRICANE-1
42.50,-57.40,09/08/00Z,70,-,HURRICANE-1
45.60,-51.70,09/08/06Z,65,-,HURRICANE-1
47.80,-49.30,09/08/12Z,60,-,EXTRATROPICAL STORM
50.00,-47.70,09/08/18Z,55,-,EXTRATROPICAL STORM
52.00,-47.00,09/09/00Z,50,-,EXTRATROPICAL STORM
53.90,-46.50,09/09/06Z,50,-,EXTRATROPICAL STORM
55.80,-45.90,09/09/12Z,45,-,EXTRATROPICAL STORM
57.60,-45.80,09/09/18Z,45,-,EXTRATROPICAL STORM
