LAT,LON,TIME,WIND,PR,STAT
14.00,-51.00,09/25/06Z,50,-,TROPICAL STORM
14.80,-51.60,09/25/12Z,50,-,TROPICAL STORM
15.20,-51.90,09/25/18Z,50,-,TROPICAL STORM
15.50,-52.30,09/26/00Z,55,-,TROPICAL STORM
15.90,-52.80,09/26/06Z,55,-,TROPICAL STORM
16.20,-53.40,09/26/12Z,60,-,TROPICAL STORM
16.60,-54.00,09/26/18Z,70,998,HURRICANE-1
17.00,-54.60,09/27/00Z,75,-,HURRICANE-1
17.50,-55.00,09/27/06Z,70,-,HURRICANE-1
18.00,-55.40,09/27/12Z,55,-,TROPICAL STORM
18.70,-55.90,09/27/18Z,45,-,TROPICAL STORM
19.30,-56.40,09/28/00Z,40,-,TROPICAL STORM
19.80,-56.90,09/28/06Z,40,-,TROPICAL STORM
20.20,-57.30,09/28/12Z,40,-,TROPICAL STORM
20.70,-57.70,09/28/18Z,35,-,TROPICAL STORM
21.30,-58.10,09/29/00Z,35,-,TROPICAL STORM
21.70,-58.70,09/29/06Z,35,-,TROPICAL STORM
