LAT,LON,TIME,WIND,PR,STAT
14.40,-81.80,05/25/18Z,35,-,TROPICAL STORM
15.00,-82.00,05/26/00Z,35,-,TROPICAL STORM
15.60,-82.30,05/26/06Z,35,-,TROPICAL STORM
16.20,-83.10,05/26/12Z,35,-,TROPICAL STORM
16.10,-84.20,05/26/18Z,35,-,TROPICAL STORM
15.50,-85.00,05/27/00Z,35,-,TROPICAL STORM
14.80,-84.90,05/27/06Z,35,-,TROPICAL STORM
14.30,-84.80,05/27/12Z,35,-,TROPICAL STORM
13.80,-84.60,05/27/18Z,35,-,TROPICAL STORM
13.30,-84.20,05/28/00Z,35,-,TROPICAL STORM
13.10,-83.90,05/28/06Z,35,-,TROPICAL STORM
13.10,-83.50,05/28/12Z,40,-,TROPICAL STORM
13.70,-82.40,05/28/18Z,40,-,TROPICAL STORM
14.70,-82.00,05/29/00Z,40,-,TROPICAL STORM
15.90,-81.80,05/29/06Z,40,-,TROPICAL STORM
17.30,-81.90,05/29/12Z,40,-,TROPICAL STORM
18.40,-82.10,05/29/18Z,45,-,TROPICAL STORM
19.40,-82.30,05/30/00Z,45,-,TROPICAL STORM
20.30,-82.70,05/30/06Z,45,-,TROPICAL STORM
20.90,-83.00,05/30/12Z,45,-,TROPICAL STORM
21.20,-83.20,05/30/18Z,45,-,TROPICAL STORM
21.40,-83.30,05/31/00Z,45,-,TROPICAL STORM
21.70,-83.40,05/31/06Z,45,-,TROPICAL STORM
22.00,-83.60,05/31/12Z,45,-,TROPICAL STORM
22.30,-83.80,05/31/18Z,50,-,TROPICAL STORM
22.60,-83.90,06/01/00Z,50,-,TROPICAL STORM
23.30,-84.20,06/01/06Z,55,-,TROPICAL STORM
24.00,-84.70,06/01/12Z,55,-,TROPICAL STORM
24.60,-85.60,06/01/18Z,55,-,TROPICAL STORM
24.00,-86.20,06/02/00Z,50,-,TROPICAL STORM
23.30,-85.70,06/02/06Z,50,-,TROPICAL STORM
23.00,-84.70,06/02/12Z,45,-,TROPICAL STORM
23.00,-84.10,06/02/18Z,40,-,TROPICAL STORM
23.10,-83.60,06/03/00Z,40,-,TROPICAL STORM
23.20,-83.30,06/03/06Z,35,-,TROPICAL STORM
23.40,-83.00,06/03/12Z,35,-,TROPICAL STORM
23.70,-82.60,06/03/18Z,35,-,TROPICAL STORM
24.00,-82.60,06/04/00Z,35,-,TROPICAL STORM
24.20,-83.20,06/04/06Z,40,-,TROPICAL STORM
24.50,-83.70,06/04/12Z,50,-,TROPICAL STORM
25.20,-84.30,06/04/18Z,55,-,TROPICAL STORM
25.90,-84.80,06/05/00Z,60,-,TROPICAL STORM
26.60,-85.20,06/05/06Z,60,-,TROPICAL STORM
27.30,-85.50,06/05/12Z,60,-,TROPICAL STORM
28.00,-85.70,06/05/18Z,60,-,TROPICAL STORM
28.60,-85.80,06/06/00Z,60,997,TROPICAL STORM
29.10,-85.80,06/06/06Z,40,-,TROPICAL STORM
29.60,-85.80,06/06/12Z,40,-,TROPICAL STORM
30.20,-85.80,06/06/18Z,35,-,TROPICAL STORM
