LAT,LON,TIME,WIND,PR,STAT
22.80,-73.90,08/11/06Z,35,-,TROPICAL STORM
24.10,-74.50,08/11/12Z,45,-,TROPICAL STORM
25.30,-74.80,08/11/18Z,50,-,TROPICAL STORM
26.50,-75.20,08/12/00Z,55,-,TROPICAL STORM
27.90,-75.60,08/12/06Z,60,-,TROPICAL STORM
29.20,-75.90,08/12/12Z,65,-,HURRICANE-1
29.90,-76.00,08/12/18Z,70,-,HURRICANE-1
30.50,-76.10,08/13/00Z,80,-,HURRICANE-1
31.50,-76.20,08/13/06Z,85,-,HURRICANE-2
32.50,-76.30,08/13/12Z,90,-,HURRICANE-2
33.60,-76.30,08/13/18Z,95,-,HURRICANE-2
34.70,-76.10,08/14/00Z,90,987,HURRICANE-2
35.80,-75.70,08/14/06Z,70,-,HURRICANE-1
37.00,-75.00,08/14/12Z,65,-,HURRICANE-1
38.10,-73.80,08/14/18Z,70,-,HURRICANE-1
39.30,-72.30,08/15/00Z,75,-,HURRICANE-1
40.40,-70.40,08/15/06Z,75,-,HURRICANE-1
41.50,-68.00,08/15/12Z,75,-,HURRICANE-1
43.10,-64.30,08/15/18Z,70,-,EXTRATROPICAL STORM-1
45.30,-60.50,08/16/00Z,55,-,EXTRATROPICAL STORM
48.70,-59.10,08/16/06Z,50,-,EXTRATROPICAL STORM
53.50,-59.40,08/16/12Z,45,-,EXTRATROPICAL STORM
