LAT,LON,TIME,WIND,PR,STAT
20.50,-86.40,10/07/06Z,35,-,TROPICAL STORM
21.00,-86.30,10/07/12Z,35,-,TROPICAL STORM
21.30,-86.20,10/07/18Z,35,-,TROPICAL STORM
21.70,-86.10,10/08/00Z,40,-,TROPICAL STORM
22.20,-86.10,10/08/06Z,40,-,TROPICAL STORM
22.70,-86.00,10/08/12Z,45,-,TROPICAL STORM
23.30,-85.80,10/08/18Z,55,-,TROPICAL STORM
24.00,-85.30,10/09/00Z,55,-,TROPICAL STORM
25.00,-84.40,10/09/06Z,60,-,TROPICAL STORM
26.20,-83.00,10/09/12Z,60,-,TROPICAL STORM
27.40,-81.20,10/09/18Z,55,994,TROPICAL STORM
28.80,-79.00,10/10/00Z,55,-,TROPICAL STORM
30.70,-76.20,10/10/06Z,60,-,TROPICAL STORM
32.40,-73.60,10/10/12Z,60,-,TROPICAL STORM
33.50,-71.50,10/10/18Z,60,-,EXTRATROPICAL STORM
34.50,-69.40,10/11/00Z,55,-,EXTRATROPICAL STORM
35.40,-67.30,10/11/06Z,50,-,EXTRATROPICAL STORM
36.40,-65.10,10/11/12Z,45,-,EXTRATROPICAL STORM
37.80,-62.20,10/11/18Z,45,-,EXTRATROPICAL STORM
39.40,-59.00,10/12/00Z,40,-,EXTRATROPICAL STORM
41.00,-56.10,10/12/06Z,40,-,EXTRATROPICAL STORM
42.70,-53.20,10/12/12Z,35,-,EXTRATROPICAL STORM
44.70,-51.00,10/12/18Z,35,-,EXTRATROPICAL STORM
