LAT,LON,TIME,WIND,PR,STAT
27.50,-88.40,07/31/18Z,50,-,TROPICAL STORM
28.20,-88.60,08/01/00Z,55,-,TROPICAL STORM
28.80,-88.80,08/01/06Z,60,-,TROPICAL STORM
29.30,-89.00,08/01/12Z,60,-,TROPICAL STORM
29.90,-89.50,08/01/18Z,55,-,TROPICAL STORM
30.60,-90.40,08/02/00Z,45,-,TROPICAL STORM
31.10,-91.60,08/02/06Z,35,-,TROPICAL STORM
31.50,-92.80,08/02/12Z,30,-,TROPICAL DEPRESSION
31.80,-93.80,08/02/18Z,25,-,TROPICAL DEPRESSION
32.10,-95.00,08/03/00Z,25,-,TROPICAL DEPRESSION
32.50,-96.20,08/03/06Z,25,-,TROPICAL DEPRESSION
