LAT,LON,TIME,WIND,PR,STAT
17.00,-43.00,08/07/06Z,25,-,TROPICAL DEPRESSION
17.10,-44.00,08/07/12Z,25,-,TROPICAL DEPRESSION
17.20,-45.10,08/07/18Z,25,-,TROPICAL DEPRESSION
17.30,-46.10,08/08/00Z,25,-,TROPICAL DEPRESSION
17.50,-46.90,08/08/06Z,25,-,TROPICAL DEPRESSION
17.70,-47.80,08/08/12Z,25,-,TROPICAL DEPRESSION
17.90,-49.00,08/08/18Z,25,-,TROPICAL DEPRESSION
18.00,-50.20,08/09/00Z,25,-,TROPICAL DEPRESSION
18.20,-51.40,08/09/06Z,30,-,TROPICAL DEPRESSION
18.50,-52.60,08/09/12Z,30,-,TROPICAL DEPRESSION
18.90,-54.30,08/09/18Z,35,-,TROPICAL STORM
19.30,-55.90,08/10/00Z,35,-,TROPICAL STORM
19.80,-57.00,08/10/06Z,35,-,TROPICAL STORM
20.30,-58.00,08/10/12Z,35,-,TROPICAL STORM
21.10,-58.90,08/10/18Z,40,-,TROPICAL STORM
22.00,-59.80,08/11/00Z,45,-,TROPICAL STORM
22.70,-60.40,08/11/06Z,50,-,TROPICAL STORM
23.30,-60.80,08/11/12Z,55,-,TROPICAL STORM
23.60,-61.10,08/11/18Z,60,-,TROPICAL STORM
24.00,-61.10,08/12/00Z,65,-,HURRICANE-1
24.70,-61.00,08/12/06Z,90,-,HURRICANE-2
25.30,-60.80,08/12/12Z,105,975,HURRICANE-3
25.90,-60.70,08/12/18Z,105,-,HURRICANE-3
26.40,-60.50,08/13/00Z,105,-,HURRICANE-3
26.90,-60.50,08/13/06Z,105,969,HURRICANE-3
27.40,-61.00,08/13/12Z,105,-,HURRICANE-3
27.40,-62.20,08/13/18Z,105,-,HURRICANE-3
27.20,-63.40,08/14/00Z,105,-,HURRICANE-3
27.30,-64.40,08/14/06Z,105,-,HURRICANE-3
27.40,-65.40,08/14/12Z,105,-,HURRICANE-3
27.60,-66.70,08/14/18Z,105,-,HURRICANE-3
28.00,-68.10,08/15/00Z,100,-,HURRICANE-3
28.50,-69.40,08/15/06Z,95,-,HURRICANE-2
29.10,-70.60,08/15/12Z,95,-,HURRICANE-2
29.60,-72.00,08/15/18Z,90,-,HURRICANE-2
30.20,-73.40,08/16/00Z,85,-,HURRICANE-2
30.70,-74.30,08/16/06Z,85,-,HURRICANE-2
31.20,-75.00,08/16/12Z,85,-,HURRICANE-2
32.00,-76.00,08/16/18Z,80,-,HURRICANE-1
32.80,-76.90,08/17/00Z,75,-,HURRICANE-1
33.50,-77.50,08/17/06Z,75,-,HURRICANE-1
34.30,-78.00,08/17/12Z,60,986,TROPICAL STORM
35.40,-78.50,08/17/18Z,60,990,TROPICAL STORM
36.60,-79.00,08/18/00Z,60,993,TROPICAL STORM
37.70,-79.00,08/18/06Z,55,999,TROPICAL STORM
38.80,-78.10,08/18/12Z,50,1001,TROPICAL STORM
39.60,-76.80,08/18/18Z,45,1004,TROPICAL STORM
40.20,-75.30,08/19/00Z,40,1003,TROPICAL STORM
40.70,-73.70,08/19/06Z,40,1002,TROPICAL STORM
41.00,-72.10,08/19/12Z,35,1000,TROPICAL STORM
41.30,-70.40,08/19/18Z,35,-,TROPICAL STORM
41.50,-68.60,08/20/00Z,35,-,TROPICAL STORM
41.80,-66.60,08/20/06Z,35,-,TROPICAL STORM
42.10,-64.00,08/20/12Z,35,-,TROPICAL STORM
42.60,-60.70,08/20/18Z,35,-,EXTRATROPICAL STORM
43.30,-57.00,08/21/00Z,35,-,EXTRATROPICAL STORM
44.20,-53.20,08/21/06Z,35,-,EXTRATROPICAL STORM
45.00,-49.30,08/21/12Z,35,-,EXTRATROPICAL STORM
46.20,-45.90,08/21/18Z,30,-,EXTRATROPICAL DEPRESSION
