LAT,LON,TIME,WIND,PR,STAT
16.80,-61.30,09/10/18Z,30,-,TROPICAL DEPRESSION
17.40,-61.70,09/11/00Z,30,-,TROPICAL DEPRESSION
18.00,-62.30,09/11/06Z,30,-,TROPICAL DEPRESSION
18.60,-62.90,09/11/12Z,35,-,TROPICAL STORM
18.90,-64.10,09/11/18Z,40,-,TROPICAL STORM
19.20,-65.60,09/12/00Z,45,-,TROPICAL STORM
19.50,-66.80,09/12/06Z,50,-,TROPICAL STORM
19.80,-68.00,09/12/12Z,65,1007,HURRICANE-1
20.10,-69.10,09/12/18Z,75,-,HURRICANE-1
20.40,-70.20,09/13/00Z,80,-,HURRICANE-1
20.40,-71.30,09/13/06Z,85,-,HURRICANE-2
20.30,-72.50,09/13/12Z,85,-,HURRICANE-2
20.20,-73.60,09/13/18Z,70,-,HURRICANE-1
20.10,-74.70,09/14/00Z,65,-,HURRICANE-1
20.10,-76.20,09/14/06Z,60,-,TROPICAL STORM
20.10,-77.70,09/14/12Z,60,-,TROPICAL STORM
19.90,-79.20,09/14/18Z,65,-,HURRICANE-1
19.60,-80.60,09/15/00Z,75,-,HURRICANE-1
19.40,-82.10,09/15/06Z,85,-,HURRICANE-2
19.20,-83.40,09/15/12Z,90,980,HURRICANE-2
19.10,-84.40,09/15/18Z,100,-,HURRICANE-3
19.20,-85.40,09/16/00Z,100,963,HURRICANE-3
19.40,-86.40,09/16/06Z,95,-,HURRICANE-2
19.60,-87.40,09/16/12Z,95,-,HURRICANE-2
19.90,-88.40,09/16/18Z,90,-,HURRICANE-2
20.20,-89.30,09/17/00Z,85,-,HURRICANE-2
20.60,-90.20,09/17/06Z,85,-,HURRICANE-2
20.90,-91.00,09/17/12Z,90,-,HURRICANE-2
21.10,-92.00,09/17/18Z,90,-,HURRICANE-2
21.30,-92.90,09/18/00Z,95,-,HURRICANE-2
21.40,-93.60,09/18/06Z,100,-,HURRICANE-3
21.60,-94.20,09/18/12Z,105,-,HURRICANE-3
21.80,-95.00,09/18/18Z,110,-,HURRICANE-3
22.00,-95.90,09/19/00Z,105,-,HURRICANE-3
22.20,-97.00,09/19/06Z,85,-,HURRICANE-2
22.30,-98.10,09/19/12Z,60,952,TROPICAL STORM
22.20,-98.80,09/19/18Z,45,-,TROPICAL STORM
22.00,-99.10,09/20/00Z,40,-,TROPICAL STORM
21.80,-99.50,09/20/06Z,35,-,TROPICAL STORM
