LAT,LON,TIME,WIND,PR,STAT
20.50,-91.10,09/10/06Z,35,-,TROPICAL STORM
20.80,-92.10,09/10/12Z,45,-,TROPICAL STORM
21.10,-93.00,09/10/18Z,50,-,TROPICAL STORM
21.30,-93.80,09/11/00Z,55,-,TROPICAL STORM
21.50,-94.40,09/11/06Z,55,-,TROPICAL STORM
21.60,-95.00,09/11/12Z,60,1001,TROPICAL STORM
21.50,-95.50,09/11/18Z,60,1004,TROPICAL STORM
21.40,-96.00,09/12/00Z,60,1004,TROPICAL STORM
21.30,-96.40,09/12/06Z,60,-,TROPICAL STORM
21.10,-96.80,09/12/12Z,50,1004,TROPICAL STORM
20.80,-97.40,09/12/18Z,30,1002,TROPICAL DEPRESSION
