LAT,LON,TIME,WIND,PR,STAT
17.80,-75.50,10/30/06Z,25,-,TROPICAL DEPRESSION
17.20,-75.30,10/30/12Z,25,-,TROPICAL DEPRESSION
17.50,-75.10,10/30/18Z,25,-,TROPICAL DEPRESSION
18.20,-74.90,10/31/00Z,25,-,TROPICAL DEPRESSION
19.20,-74.70,10/31/06Z,25,-,TROPICAL DEPRESSION
20.40,-74.50,10/31/12Z,25,-,TROPICAL DEPRESSION
21.70,-74.40,10/31/18Z,25,-,TROPICAL DEPRESSION
23.10,-74.30,11/01/00Z,30,-,TROPICAL DEPRESSION
24.50,-73.50,11/01/06Z,30,-,TROPICAL DEPRESSION
25.90,-72.50,11/01/12Z,30,-,TROPICAL DEPRESSION
27.60,-72.20,11/01/18Z,30,-,TROPICAL DEPRESSION
29.00,-72.30,11/02/00Z,30,992,TROPICAL DEPRESSION
29.40,-73.70,11/02/06Z,30,-,TROPICAL DEPRESSION
28.10,-73.50,11/02/12Z,35,-,TROPICAL STORM
27.30,-72.90,11/02/18Z,35,-,TROPICAL STORM
26.50,-72.30,11/03/00Z,40,-,TROPICAL STORM
25.80,-72.10,11/03/06Z,45,-,TROPICAL STORM
25.20,-71.80,11/03/12Z,55,982,TROPICAL STORM
24.60,-71.40,11/03/18Z,55,-,TROPICAL STORM
24.00,-70.70,11/04/00Z,60,-,TROPICAL STORM
23.30,-69.60,11/04/06Z,65,-,HURRICANE-1
22.60,-68.30,11/04/12Z,75,-,HURRICANE-1
21.90,-66.90,11/04/18Z,95,970,HURRICANE-2
22.20,-65.30,11/05/00Z,110,-,HURRICANE-3
23.70,-63.20,11/05/06Z,115,-,HURRICANE-4
25.30,-61.00,11/05/12Z,120,970,HURRICANE-4
26.80,-59.10,11/05/18Z,120,-,HURRICANE-4
28.30,-57.10,11/06/00Z,110,-,HURRICANE-3
29.50,-54.50,11/06/06Z,100,-,HURRICANE-3
30.60,-51.20,11/06/12Z,85,985,HURRICANE-2
31.90,-47.60,11/06/18Z,70,-,HURRICANE-1
33.30,-42.60,11/07/00Z,55,-,EXTRATROPICAL STORM
34.50,-37.70,11/07/06Z,45,-,EXTRATROPICAL STORM
