LAT,LON,TIME,WIND,PR,STAT
13.00,-21.70,09/02/06Z,25,-,TROPICAL DEPRESSION
13.00,-22.20,09/02/12Z,25,-,TROPICAL DEPRESSION
13.00,-23.10,09/02/18Z,25,1001,TROPICAL DEPRESSION
13.10,-24.00,09/03/00Z,25,-,TROPICAL DEPRESSION
13.40,-25.00,09/03/06Z,30,-,TROPICAL DEPRESSION
13.70,-25.90,09/03/12Z,35,-,TROPICAL STORM
13.90,-26.80,09/03/18Z,35,-,TROPICAL STORM
14.10,-27.70,09/04/00Z,40,-,TROPICAL STORM
14.30,-28.60,09/04/06Z,45,-,TROPICAL STORM
14.50,-29.60,09/04/12Z,50,-,TROPICAL STORM
14.50,-30.60,09/04/18Z,55,-,TROPICAL STORM
14.40,-31.50,09/05/00Z,60,-,TROPICAL STORM
14.50,-32.60,09/05/06Z,65,-,HURRICANE-1
14.70,-33.70,09/05/12Z,70,-,HURRICANE-1
14.90,-34.60,09/05/18Z,75,-,HURRICANE-1
15.20,-35.40,09/06/00Z,80,-,HURRICANE-1
15.40,-36.50,09/06/06Z,80,-,HURRICANE-1
15.70,-37.50,09/06/12Z,85,-,HURRICANE-2
15.90,-38.30,09/06/18Z,95,-,HURRICANE-2
16.20,-39.10,09/07/00Z,100,-,HURRICANE-3
16.40,-40.00,09/07/06Z,105,-,HURRICANE-3
16.70,-41.00,09/07/12Z,110,945,HURRICANE-3
17.00,-42.00,09/07/18Z,115,-,HURRICANE-4
17.40,-42.90,09/08/00Z,120,-,HURRICANE-4
17.70,-43.90,09/08/06Z,125,-,HURRICANE-4
18.00,-45.00,09/08/12Z,130,945,HURRICANE-4
18.00,-45.70,09/08/18Z,135,-,HURRICANE-4
18.00,-46.50,09/09/00Z,135,-,HURRICANE-4
18.10,-47.30,09/09/06Z,135,-,HURRICANE-4
18.30,-48.20,09/09/12Z,135,975,HURRICANE-4
18.60,-49.00,09/09/18Z,130,-,HURRICANE-4
19.00,-49.70,09/10/00Z,125,-,HURRICANE-4
19.20,-50.50,09/10/06Z,115,-,HURRICANE-4
19.50,-51.30,09/10/12Z,95,987,HURRICANE-2
19.90,-52.00,09/10/18Z,85,-,HURRICANE-2
20.40,-52.50,09/11/00Z,75,-,HURRICANE-1
20.70,-52.70,09/11/06Z,65,-,HURRICANE-1
21.00,-52.70,09/11/12Z,65,984,HURRICANE-1
21.50,-52.70,09/11/18Z,70,-,HURRICANE-1
21.90,-52.70,09/12/00Z,80,-,HURRICANE-1
22.40,-52.70,09/12/06Z,85,-,HURRICANE-2
22.80,-52.70,09/12/12Z,90,957,HURRICANE-2
23.30,-52.70,09/12/18Z,95,-,HURRICANE-2
24.00,-52.60,09/13/00Z,95,-,HURRICANE-2
24.70,-52.50,09/13/06Z,95,-,HURRICANE-2
25.40,-52.40,09/13/12Z,100,963,HURRICANE-3
26.20,-52.40,09/13/18Z,100,-,HURRICANE-3
27.00,-52.50,09/14/00Z,100,-,HURRICANE-3
27.60,-52.70,09/14/06Z,105,-,HURRICANE-3
28.10,-53.20,09/14/12Z,110,963,HURRICANE-3
28.40,-54.10,09/14/18Z,115,-,HURRICANE-4
28.80,-55.30,09/15/00Z,120,-,HURRICANE-4
29.50,-56.70,09/15/06Z,110,-,HURRICANE-3
30.20,-58.00,09/15/12Z,105,963,HURRICANE-3
31.00,-58.90,09/15/18Z,100,-,HURRICANE-3
31.70,-59.70,09/16/00Z,90,-,HURRICANE-2
32.20,-60.80,09/16/06Z,85,-,HURRICANE-2
32.70,-62.00,09/16/12Z,85,964,HURRICANE-2
33.50,-62.90,09/16/18Z,85,-,HURRICANE-2
34.20,-63.60,09/17/00Z,80,-,HURRICANE-1
34.70,-64.10,09/17/06Z,80,-,HURRICANE-1
35.20,-63.80,09/17/12Z,80,972,HURRICANE-1
35.70,-62.90,09/17/18Z,80,-,HURRICANE-1
36.10,-61.80,09/18/00Z,80,-,HURRICANE-1
36.20,-60.70,09/18/06Z,75,-,HURRICANE-1
35.90,-59.50,09/18/12Z,75,978,HURRICANE-1
35.50,-58.00,09/18/18Z,75,-,HURRICANE-1
35.20,-56.40,09/19/00Z,75,-,HURRICANE-1
34.90,-55.20,09/19/06Z,70,-,HURRICANE-1
34.70,-53.90,09/19/12Z,70,970,HURRICANE-1
34.50,-52.20,09/19/18Z,70,-,HURRICANE-1
34.40,-50.40,09/20/00Z,70,-,HURRICANE-1
34.30,-49.20,09/20/06Z,70,-,HURRICANE-1
34.10,-47.80,09/20/12Z,70,-,HURRICANE-1
34.20,-45.90,09/20/18Z,70,-,HURRICANE-1
34.50,-44.00,09/21/00Z,70,-,HURRICANE-1
34.60,-42.10,09/21/06Z,70,-,HURRICANE-1
34.70,-40.10,09/21/12Z,70,972,HURRICANE-1
35.00,-38.00,09/21/18Z,70,-,HURRICANE-1
35.70,-35.60,09/22/00Z,70,-,HURRICANE-1
36.80,-32.80,09/22/06Z,70,-,HURRICANE-1
38.40,-29.50,09/22/12Z,70,-,HURRICANE-1
40.40,-25.30,09/22/18Z,65,-,HURRICANE-1
42.30,-21.90,09/23/00Z,65,-,EXTRATROPICAL STORM-1
44.00,-19.90,09/23/06Z,65,-,EXTRATROPICAL STORM-1
45.60,-17.80,09/23/12Z,60,-,EXTRATROPICAL STORM
47.50,-15.60,09/23/18Z,60,-,EXTRATROPICAL STORM
48.90,-13.70,09/24/00Z,55,-,EXTRATROPICAL STORM
50.00,-12.00,09/24/06Z,55,-,EXTRATROPICAL STORM
51.20,-10.80,09/24/12Z,50,-,EXTRATROPICAL STORM
52.20,-9.40,09/24/18Z,45,-,EXTRATROPICAL STORM
