LAT,LON,TIME,WIND,PR,STAT
31.70,-65.80,09/20/12Z,25,-,TROPICAL DEPRESSION
30.80,-65.60,09/20/18Z,25,-,TROPICAL DEPRESSION
30.00,-65.60,09/21/00Z,25,-,TROPICAL DEPRESSION
29.20,-65.80,09/21/06Z,30,-,TROPICAL DEPRESSION
28.60,-66.00,09/21/12Z,30,1001,TROPICAL DEPRESSION
28.20,-66.20,09/21/18Z,30,-,TROPICAL DEPRESSION
27.80,-66.50,09/22/00Z,35,-,TROPICAL STORM
27.50,-67.60,09/22/06Z,50,-,TROPICAL STORM
27.20,-69.10,09/22/12Z,50,1007,TROPICAL STORM
27.10,-70.30,09/22/18Z,50,-,TROPICAL STORM
27.10,-71.20,09/23/00Z,50,-,TROPICAL STORM
27.20,-71.70,09/23/06Z,45,-,TROPICAL STORM
27.80,-72.00,09/23/12Z,45,1001,TROPICAL STORM
28.80,-72.20,09/23/18Z,45,-,TROPICAL STORM
29.80,-72.30,09/24/00Z,45,-,TROPICAL STORM
30.80,-72.00,09/24/06Z,45,-,TROPICAL STORM
31.80,-71.30,09/24/12Z,45,1001,TROPICAL STORM
32.80,-70.30,09/24/18Z,45,-,TROPICAL STORM
33.80,-68.80,09/25/00Z,50,-,TROPICAL STORM
35.00,-67.00,09/25/06Z,60,-,TROPICAL STORM
36.40,-65.20,09/25/12Z,70,992,HURRICANE-1
37.70,-63.40,09/25/18Z,70,-,HURRICANE-1
39.00,-61.60,09/26/00Z,70,-,HURRICANE-1
40.20,-59.70,09/26/06Z,65,-,HURRICANE-1
41.40,-57.80,09/26/12Z,55,-,EXTRATROPICAL STORM
42.50,-56.20,09/26/18Z,50,-,EXTRATROPICAL STORM
44.00,-54.50,09/27/00Z,45,-,EXTRATROPICAL STORM
46.30,-52.80,09/27/06Z,35,-,EXTRATROPICAL STORM
48.50,-51.20,09/27/12Z,35,-,EXTRATROPICAL STORM
