LAT,LON,TIME,WIND,PR,STAT
21.10,-94.70,06/15/18Z,25,-,TROPICAL DEPRESSION
21.70,-95.20,06/16/00Z,25,-,TROPICAL DEPRESSION
22.00,-95.60,06/16/06Z,45,-,TROPICAL STORM
22.30,-96.00,06/16/12Z,50,-,TROPICAL STORM
22.60,-96.20,06/16/18Z,50,-,TROPICAL STORM
22.80,-96.30,06/17/00Z,55,-,TROPICAL STORM
23.00,-96.50,06/17/06Z,55,-,TROPICAL STORM
23.10,-96.70,06/17/12Z,55,-,TROPICAL STORM
23.20,-97.10,06/17/18Z,60,987,TROPICAL STORM
23.00,-97.30,06/18/00Z,55,-,TROPICAL STORM
22.40,-97.30,06/18/06Z,45,-,TROPICAL STORM
21.80,-97.20,06/18/12Z,35,-,TROPICAL STORM
21.20,-97.20,06/18/18Z,30,-,TROPICAL DEPRESSION
