LAT,LON,TIME,WIND,PR,STAT
23.90,-90.60,09/14/12Z,40,-,TROPICAL STORM
25.60,-89.70,09/14/18Z,75,-,HURRICANE-1
27.00,-89.10,09/15/00Z,110,981,HURRICANE-3
28.10,-88.90,09/15/06Z,140,-,HURRICANE-5
29.10,-88.90,09/15/12Z,80,-,HURRICANE-1
29.90,-89.00,09/15/18Z,60,-,TROPICAL STORM
30.70,-89.00,09/16/00Z,45,-,TROPICAL STORM
31.30,-89.00,09/16/06Z,35,-,TROPICAL STORM
32.00,-88.90,09/16/12Z,35,-,TROPICAL STORM
32.90,-88.50,09/16/18Z,30,-,TROPICAL DEPRESSION
33.90,-88.10,09/17/00Z,25,-,TROPICAL DEPRESSION
35.00,-88.00,09/17/06Z,20,-,TROPICAL DEPRESSION
36.00,-87.60,09/17/12Z,15,-,TROPICAL DEPRESSION
36.80,-87.00,09/17/18Z,15,-,TROPICAL DEPRESSION
