LAT,LON,TIME,WIND,PR,STAT
11.50,-60.20,07/20/00Z,35,-,TROPICAL STORM
11.70,-62.00,07/20/06Z,45,1002,TROPICAL STORM
11.90,-63.80,07/20/12Z,60,999,TROPICAL STORM
12.40,-65.70,07/20/18Z,70,-,HURRICANE-1
13.00,-67.20,07/21/00Z,80,1002,HURRICANE-1
13.20,-69.50,07/21/06Z,90,992,HURRICANE-2
13.40,-71.50,07/21/12Z,95,-,HURRICANE-2
13.70,-73.30,07/21/18Z,100,-,HURRICANE-3
13.70,-74.70,07/22/00Z,100,984,HURRICANE-3
14.00,-76.60,07/22/06Z,100,982,HURRICANE-3
14.50,-78.20,07/22/12Z,100,976,HURRICANE-3
15.20,-79.70,07/22/18Z,100,-,HURRICANE-3
15.20,-81.40,07/23/00Z,100,990,HURRICANE-3
15.30,-82.90,07/23/06Z,95,-,HURRICANE-2
15.80,-84.30,07/23/12Z,90,992,HURRICANE-2
16.00,-85.70,07/23/18Z,90,-,HURRICANE-2
16.10,-86.40,07/24/00Z,85,989,HURRICANE-2
16.30,-87.50,07/24/06Z,80,-,HURRICANE-1
16.60,-88.30,07/24/12Z,70,-,HURRICANE-1
16.90,-89.10,07/24/18Z,60,-,TROPICAL STORM
