LAT,LON,TIME,WIND,PR,STAT
16.00,-57.00,09/30/06Z,30,-,TROPICAL DEPRESSION
16.10,-58.70,09/30/12Z,35,1007,TROPICAL STORM
16.20,-59.50,09/30/18Z,45,1006,TROPICAL STORM
16.20,-60.30,10/01/00Z,45,-,TROPICAL STORM
16.20,-61.10,10/01/06Z,40,-,TROPICAL STORM
16.00,-62.10,10/01/12Z,40,1004,TROPICAL STORM
15.90,-63.10,10/01/18Z,40,-,TROPICAL STORM
16.10,-64.00,10/02/00Z,40,1010,TROPICAL STORM
16.20,-65.00,10/02/06Z,45,-,TROPICAL STORM
16.40,-66.10,10/02/12Z,50,1011,TROPICAL STORM
17.00,-67.10,10/02/18Z,50,1010,TROPICAL STORM
17.80,-67.90,10/03/00Z,50,-,TROPICAL STORM
18.50,-68.60,10/03/06Z,50,-,TROPICAL STORM
19.20,-69.10,10/03/12Z,50,1010,TROPICAL STORM
20.60,-69.70,10/03/18Z,55,-,TROPICAL STORM
22.00,-70.30,10/04/00Z,55,1005,TROPICAL STORM
23.00,-70.70,10/04/06Z,60,-,TROPICAL STORM
24.30,-71.30,10/04/12Z,65,999,HURRICANE-1
25.40,-71.60,10/04/18Z,70,-,HURRICANE-1
26.90,-71.20,10/05/00Z,75,997,HURRICANE-1
27.40,-71.10,10/05/06Z,80,991,HURRICANE-1
28.70,-70.70,10/05/12Z,85,974,HURRICANE-2
29.20,-70.30,10/05/18Z,90,-,HURRICANE-2
30.00,-69.50,10/06/00Z,95,960,HURRICANE-2
30.50,-68.80,10/06/06Z,100,-,HURRICANE-3
31.20,-68.20,10/06/12Z,105,968,HURRICANE-3
32.20,-67.40,10/06/18Z,105,954,HURRICANE-3
32.90,-66.30,10/07/00Z,110,948,HURRICANE-3
34.00,-65.10,10/07/06Z,110,-,HURRICANE-3
35.50,-64.50,10/07/12Z,110,-,HURRICANE-3
36.60,-64.20,10/07/18Z,110,-,HURRICANE-3
38.50,-64.20,10/08/00Z,105,-,HURRICANE-3
39.20,-64.70,10/08/06Z,100,-,HURRICANE-3
40.10,-65.20,10/08/12Z,95,-,HURRICANE-2
41.20,-66.00,10/08/18Z,70,-,HURRICANE-1
42.20,-66.50,10/09/00Z,65,-,HURRICANE-1
43.10,-67.40,10/09/06Z,50,-,TROPICAL STORM
43.50,-67.80,10/09/12Z,40,-,EXTRATROPICAL STORM
44.40,-65.80,10/09/18Z,40,-,EXTRATROPICAL STORM
45.00,-64.00,10/10/00Z,35,-,EXTRATROPICAL STORM
46.00,-59.20,10/10/06Z,35,-,EXTRATROPICAL STORM
