LAT,LON,TIME,WIND,PR,STAT
11.60,-81.50,10/27/12Z,45,-,TROPICAL STORM
12.00,-81.60,10/27/18Z,55,-,TROPICAL STORM
12.80,-81.70,10/28/00Z,65,991,HURRICANE-1
12.90,-81.70,10/28/06Z,100,-,HURRICANE-3
13.50,-81.60,10/28/12Z,105,991,HURRICANE-3
14.10,-81.50,10/28/18Z,110,969,HURRICANE-3
15.00,-81.40,10/29/00Z,110,952,HURRICANE-3
16.10,-81.20,10/29/06Z,110,-,HURRICANE-3
16.90,-81.30,10/29/12Z,110,963,HURRICANE-3
17.70,-81.90,10/29/18Z,110,-,HURRICANE-3
18.20,-82.40,10/30/00Z,115,956,HURRICANE-4
18.50,-83.80,10/30/06Z,120,942,HURRICANE-4
18.40,-84.10,10/30/12Z,130,937,HURRICANE-4
18.20,-85.20,10/30/18Z,140,-,HURRICANE-5
17.90,-86.10,10/31/00Z,140,920,HURRICANE-5
17.60,-87.10,10/31/06Z,140,-,HURRICANE-5
17.20,-88.10,10/31/12Z,120,930,HURRICANE-4
16.90,-88.90,10/31/18Z,60,-,TROPICAL STORM
16.60,-89.60,11/01/00Z,55,-,TROPICAL STORM
15.70,-90.10,11/01/06Z,45,-,TROPICAL STORM
