LAT,LON,TIME,WIND,PR,STAT
17.00,-62.00,11/01/12Z,30,-,TROPICAL DEPRESSION
19.30,-61.00,11/01/18Z,30,1006,TROPICAL DEPRESSION
21.00,-60.00,11/02/00Z,30,-,TROPICAL DEPRESSION
22.30,-59.00,11/02/06Z,30,-,TROPICAL DEPRESSION
23.80,-58.00,11/02/12Z,30,-,TROPICAL DEPRESSION
24.80,-57.20,11/02/18Z,30,-,TROPICAL DEPRESSION
26.00,-56.80,11/03/00Z,30,-,TROPICAL DEPRESSION
26.70,-55.60,11/03/06Z,30,-,TROPICAL DEPRESSION
26.90,-54.50,11/03/12Z,30,-,TROPICAL DEPRESSION
27.00,-52.90,11/03/18Z,30,-,TROPICAL DEPRESSION
27.00,-51.30,11/04/00Z,30,-,TROPICAL DEPRESSION
27.00,-48.90,11/04/06Z,30,-,TROPICAL DEPRESSION
27.00,-47.00,11/04/12Z,30,1002,TROPICAL DEPRESSION
26.00,-46.00,11/04/18Z,30,-,TROPICAL DEPRESSION
25.70,-45.00,11/05/00Z,30,-,TROPICAL DEPRESSION
25.90,-43.80,11/05/06Z,30,-,TROPICAL DEPRESSION
26.50,-43.20,11/05/12Z,30,-,TROPICAL DEPRESSION
27.60,-43.50,11/05/18Z,30,991,TROPICAL DEPRESSION
28.80,-47.00,11/06/00Z,45,976,TROPICAL STORM
28.40,-49.10,11/06/06Z,55,-,TROPICAL STORM
28.00,-51.00,11/06/12Z,65,-,HURRICANE-1
28.30,-52.30,11/06/18Z,70,974,HURRICANE-1
28.50,-52.40,11/07/00Z,70,-,HURRICANE-1
28.70,-52.50,11/07/06Z,65,-,HURRICANE-1
28.80,-52.80,11/07/12Z,60,988,TROPICAL STORM
29.70,-51.90,11/07/18Z,60,-,TROPICAL STORM
30.40,-51.70,11/08/00Z,55,985,TROPICAL STORM
31.10,-50.90,11/08/06Z,50,-,TROPICAL STORM
31.80,-50.40,11/08/12Z,50,-,TROPICAL STORM
32.40,-49.30,11/08/18Z,45,-,EXTRATROPICAL STORM
32.70,-48.60,11/09/00Z,40,987,EXTRATROPICAL STORM
33.20,-47.50,11/09/06Z,40,-,EXTRATROPICAL STORM
33.80,-46.50,11/09/12Z,35,-,EXTRATROPICAL STORM
34.50,-45.80,11/09/18Z,35,-,EXTRATROPICAL STORM
