LAT,LON,TIME,WIND,PR,STAT
25.30,-79.70,08/26/12Z,25,-,TROPICAL DEPRESSION
26.40,-80.10,08/26/18Z,25,-,TROPICAL DEPRESSION
27.70,-80.30,08/27/00Z,25,-,TROPICAL DEPRESSION
29.20,-80.20,08/27/06Z,30,1007,TROPICAL DEPRESSION
30.60,-79.70,08/27/12Z,40,-,TROPICAL STORM
31.80,-78.80,08/27/18Z,45,-,TROPICAL STORM
32.90,-77.70,08/28/00Z,45,1002,TROPICAL STORM
34.10,-76.60,08/28/06Z,50,-,TROPICAL STORM
35.20,-75.30,08/28/12Z,65,986,HURRICANE-1
36.90,-73.50,08/28/18Z,75,991,HURRICANE-1
38.70,-71.70,08/29/00Z,80,988,HURRICANE-1
40.10,-70.40,08/29/06Z,85,-,HURRICANE-2
41.00,-69.40,08/29/12Z,80,990,HURRICANE-1
41.50,-68.70,08/29/18Z,75,-,HURRICANE-1
41.50,-67.90,08/30/00Z,60,994,TROPICAL STORM
41.30,-67.00,08/30/06Z,55,-,TROPICAL STORM
41.00,-66.50,08/30/12Z,45,-,TROPICAL STORM
40.80,-65.10,08/30/18Z,40,-,EXTRATROPICAL STORM
40.50,-64.30,08/31/00Z,40,-,EXTRATROPICAL STORM
39.90,-63.50,08/31/06Z,40,-,EXTRATROPICAL STORM
39.10,-63.30,08/31/12Z,40,-,EXTRATROPICAL STORM
38.60,-63.80,08/31/18Z,35,-,EXTRATROPICAL STORM
38.30,-64.40,09/01/00Z,35,-,EXTRATROPICAL STORM
38.40,-65.10,09/01/06Z,35,-,EXTRATROPICAL STORM
38.80,-65.60,09/01/12Z,35,-,EXTRATROPICAL STORM
39.30,-65.20,09/01/18Z,35,-,EXTRATROPICAL STORM
39.70,-65.00,09/02/00Z,35,-,EXTRATROPICAL STORM
40.90,-63.60,09/02/06Z,25,1002,EXTRATROPICAL DEPRESSION
42.20,-61.00,09/02/12Z,15,-,EXTRATROPICAL DEPRESSION
45.30,-55.50,09/02/18Z,15,-,EXTRATROPICAL DEPRESSION
