LAT,LON,TIME,WIND,PR,STAT
14.50,-48.90,09/29/06Z,25,-,TROPICAL DEPRESSION
14.80,-50.50,09/29/12Z,25,-,TROPICAL DEPRESSION
15.00,-52.30,09/29/18Z,30,-,TROPICAL DEPRESSION
15.20,-54.00,09/30/00Z,30,-,TROPICAL DEPRESSION
15.50,-55.60,09/30/06Z,30,-,TROPICAL DEPRESSION
15.80,-57.20,09/30/12Z,30,-,TROPICAL DEPRESSION
16.30,-58.80,09/30/18Z,30,-,TROPICAL DEPRESSION
16.90,-59.90,10/01/00Z,30,-,TROPICAL DEPRESSION
17.40,-60.70,10/01/06Z,30,-,TROPICAL DEPRESSION
17.80,-61.20,10/01/12Z,30,-,TROPICAL DEPRESSION
19.00,-62.00,10/01/18Z,30,-,TROPICAL DEPRESSION
20.30,-62.60,10/02/00Z,30,-,TROPICAL DEPRESSION
21.30,-62.80,10/02/06Z,30,1003,TROPICAL DEPRESSION
21.80,-63.20,10/02/12Z,40,-,TROPICAL STORM
22.50,-63.80,10/02/18Z,45,-,TROPICAL STORM
22.80,-64.40,10/03/00Z,50,-,TROPICAL STORM
23.10,-65.10,10/03/06Z,55,-,TROPICAL STORM
23.30,-65.60,10/03/12Z,60,-,TROPICAL STORM
23.60,-66.30,10/03/18Z,65,-,HURRICANE-1
23.90,-67.00,10/04/00Z,65,994,HURRICANE-1
24.10,-67.30,10/04/06Z,65,-,HURRICANE-1
24.30,-68.10,10/04/12Z,65,-,HURRICANE-1
24.80,-68.90,10/04/18Z,70,986,HURRICANE-1
25.50,-69.40,10/05/00Z,80,-,HURRICANE-1
26.40,-69.80,10/05/06Z,85,-,HURRICANE-2
27.20,-69.80,10/05/12Z,85,-,HURRICANE-2
28.00,-69.60,10/05/18Z,95,969,HURRICANE-2
29.20,-69.60,10/06/00Z,90,-,HURRICANE-2
31.00,-68.60,10/06/06Z,80,-,HURRICANE-1
32.80,-68.10,10/06/12Z,85,965,HURRICANE-2
34.50,-67.50,10/06/18Z,95,968,HURRICANE-2
37.10,-66.30,10/07/00Z,95,-,HURRICANE-2
39.10,-65.40,10/07/06Z,70,975,HURRICANE-1
42.20,-66.60,10/07/12Z,65,-,HURRICANE-1
42.70,-66.90,10/07/18Z,65,-,HURRICANE-1
43.50,-66.50,10/08/00Z,65,-,HURRICANE-1
44.10,-64.80,10/08/06Z,65,-,HURRICANE-1
44.70,-62.80,10/08/12Z,55,-,EXTRATROPICAL STORM
45.10,-60.30,10/08/18Z,50,-,EXTRATROPICAL STORM
45.50,-57.70,10/09/00Z,50,-,EXTRATROPICAL STORM
46.00,-54.90,10/09/06Z,50,-,EXTRATROPICAL STORM
