LAT,LON,TIME,WIND,PR,STAT
22.10,-71.40,10/14/18Z,25,-,TROPICAL DEPRESSION
23.80,-72.10,10/15/00Z,25,1002,TROPICAL DEPRESSION
24.70,-72.10,10/15/06Z,30,-,TROPICAL DEPRESSION
25.00,-72.10,10/15/12Z,35,-,TROPICAL STORM
25.20,-72.10,10/15/18Z,40,1002,TROPICAL STORM
25.80,-72.20,10/16/00Z,40,1002,TROPICAL STORM
26.10,-72.60,10/16/06Z,50,-,TROPICAL STORM
26.30,-73.20,10/16/12Z,55,-,TROPICAL STORM
26.40,-74.00,10/16/18Z,60,1002,TROPICAL STORM
26.70,-74.80,10/17/00Z,60,994,TROPICAL STORM
27.00,-75.10,10/17/06Z,60,997,TROPICAL STORM
27.40,-75.20,10/17/12Z,60,992,TROPICAL STORM
28.10,-75.40,10/17/18Z,70,987,HURRICANE-1
28.70,-75.60,10/18/00Z,75,-,HURRICANE-1
29.20,-75.70,10/18/06Z,70,981,HURRICANE-1
29.70,-75.80,10/18/12Z,70,978,HURRICANE-1
30.20,-75.80,10/18/18Z,70,976,HURRICANE-1
30.70,-75.80,10/19/00Z,75,-,HURRICANE-1
30.70,-75.10,10/19/06Z,80,973,HURRICANE-1
30.70,-74.60,10/19/12Z,90,969,HURRICANE-2
31.30,-73.60,10/19/18Z,100,962,HURRICANE-3
31.90,-72.80,10/20/00Z,100,-,HURRICANE-3
33.00,-71.80,10/20/06Z,85,960,HURRICANE-2
33.90,-70.80,10/20/12Z,85,960,HURRICANE-2
34.60,-69.60,10/20/18Z,85,964,HURRICANE-2
35.20,-68.10,10/21/00Z,80,-,HURRICANE-1
36.00,-66.30,10/21/06Z,75,-,HURRICANE-1
36.70,-64.60,10/21/12Z,70,972,HURRICANE-1
37.50,-62.60,10/21/18Z,65,950,HURRICANE-1
39.50,-59.70,10/22/00Z,65,-,HURRICANE-1
42.90,-56.30,10/22/06Z,60,-,EXTRATROPICAL STORM
46.70,-53.40,10/22/12Z,60,-,EXTRATROPICAL STORM
49.00,-50.00,10/22/18Z,60,-,EXTRATROPICAL STORM
52.00,-45.10,10/23/00Z,60,-,EXTRATROPICAL STORM
54.10,-41.40,10/23/06Z,60,-,EXTRATROPICAL STORM
56.20,-37.00,10/23/12Z,60,-,EXTRATROPICAL STORM
