LAT,LON,TIME,WIND,PR,STAT
8.00,-33.00,09/26/12Z,25,-,TROPICAL DEPRESSION
8.10,-34.80,09/26/18Z,25,-,TROPICAL DEPRESSION
8.20,-36.50,09/27/00Z,25,-,TROPICAL DEPRESSION
8.30,-38.30,09/27/06Z,30,-,TROPICAL DEPRESSION
8.50,-40.00,09/27/12Z,30,-,TROPICAL DEPRESSION
8.70,-41.60,09/27/18Z,30,-,TROPICAL DEPRESSION
8.80,-43.20,09/28/00Z,30,-,TROPICAL DEPRESSION
9.00,-44.70,09/28/06Z,30,-,TROPICAL DEPRESSION
9.20,-46.30,09/28/12Z,30,-,TROPICAL DEPRESSION
9.50,-47.90,09/28/18Z,30,-,TROPICAL DEPRESSION
9.80,-49.50,09/29/00Z,30,-,TROPICAL DEPRESSION
9.90,-51.10,09/29/06Z,30,-,TROPICAL DEPRESSION
10.00,-52.80,09/29/12Z,40,1000,TROPICAL STORM
10.10,-54.40,09/29/18Z,55,-,TROPICAL STORM
10.30,-56.00,09/30/00Z,70,-,HURRICANE-1
10.40,-57.60,09/30/06Z,85,-,HURRICANE-2
10.70,-59.10,09/30/12Z,100,994,HURRICANE-3
11.20,-60.70,09/30/18Z,105,978,HURRICANE-3
11.60,-62.00,10/01/00Z,110,981,HURRICANE-3
12.00,-63.30,10/01/06Z,110,981,HURRICANE-3
12.50,-64.80,10/01/12Z,115,974,HURRICANE-4
13.00,-66.00,10/01/18Z,115,975,HURRICANE-4
13.60,-67.30,10/02/00Z,120,970,HURRICANE-4
14.10,-68.30,10/02/06Z,120,-,HURRICANE-4
14.60,-69.20,10/02/12Z,120,968,HURRICANE-4
15.10,-70.00,10/02/18Z,120,968,HURRICANE-4
15.50,-70.60,10/03/00Z,120,-,HURRICANE-4
15.90,-71.40,10/03/06Z,125,-,HURRICANE-4
16.50,-72.00,10/03/12Z,125,940,HURRICANE-4
17.10,-72.50,10/03/18Z,125,944,HURRICANE-4
18.00,-73.10,10/04/00Z,125,944,HURRICANE-4
19.10,-74.20,10/04/06Z,105,995,HURRICANE-3
19.30,-74.50,10/04/12Z,105,970,HURRICANE-3
20.30,-74.90,10/04/18Z,105,970,HURRICANE-3
20.80,-75.90,10/05/00Z,110,-,HURRICANE-3
20.80,-76.50,10/05/06Z,110,-,HURRICANE-3
20.80,-76.80,10/05/12Z,105,985,HURRICANE-3
20.50,-77.00,10/05/18Z,100,-,HURRICANE-3
20.40,-77.40,10/06/00Z,100,-,HURRICANE-3
20.30,-77.60,10/06/06Z,95,-,HURRICANE-2
20.20,-77.90,10/06/12Z,90,985,HURRICANE-2
20.50,-78.10,10/06/18Z,85,-,HURRICANE-2
20.60,-78.30,10/07/00Z,85,-,HURRICANE-2
20.70,-78.20,10/07/06Z,80,-,HURRICANE-1
20.80,-78.10,10/07/12Z,80,986,HURRICANE-1
21.00,-78.00,10/07/18Z,75,-,HURRICANE-1
21.30,-77.70,10/08/00Z,75,-,HURRICANE-1
21.20,-77.00,10/08/06Z,75,989,HURRICANE-1
21.10,-76.20,10/08/12Z,70,990,HURRICANE-1
21.50,-75.40,10/08/18Z,75,990,HURRICANE-1
21.70,-74.40,10/09/00Z,75,983,HURRICANE-1
22.30,-72.80,10/09/06Z,75,-,HURRICANE-1
23.50,-71.60,10/09/12Z,80,975,HURRICANE-1
25.00,-70.00,10/09/18Z,85,965,HURRICANE-2
26.00,-68.30,10/10/00Z,95,965,HURRICANE-2
27.10,-66.50,10/10/06Z,95,969,HURRICANE-2
28.10,-64.90,10/10/12Z,100,969,HURRICANE-3
29.90,-62.20,10/10/18Z,100,972,HURRICANE-3
32.20,-59.80,10/11/00Z,95,-,HURRICANE-2
34.30,-58.30,10/11/06Z,90,970,HURRICANE-2
36.20,-57.00,10/11/12Z,85,963,HURRICANE-2
38.30,-56.00,10/11/18Z,80,963,HURRICANE-1
40.10,-54.00,10/12/00Z,80,-,HURRICANE-1
42.00,-52.00,10/12/06Z,75,-,HURRICANE-1
43.50,-49.80,10/12/12Z,75,985,HURRICANE-1
45.20,-47.50,10/12/18Z,75,-,EXTRATROPICAL STORM-1
47.00,-45.00,10/13/00Z,70,-,EXTRATROPICAL STORM-1
49.20,-42.80,10/13/06Z,70,-,EXTRATROPICAL STORM-1
51.50,-41.00,10/13/12Z,70,-,EXTRATROPICAL STORM-1
