LAT,LON,TIME,WIND,PR,STAT
21.00,-72.00,10/16/12Z,20,-,TROPICAL DEPRESSION
21.80,-71.90,10/16/18Z,20,-,TROPICAL DEPRESSION
22.50,-71.80,10/17/00Z,20,-,TROPICAL DEPRESSION
23.30,-71.70,10/17/06Z,20,-,TROPICAL DEPRESSION
24.00,-71.60,10/17/12Z,20,-,TROPICAL DEPRESSION
24.80,-71.50,10/17/18Z,20,-,TROPICAL DEPRESSION
25.50,-71.40,10/18/00Z,20,-,TROPICAL DEPRESSION
26.30,-71.30,10/18/06Z,25,-,TROPICAL DEPRESSION
27.00,-71.20,10/18/12Z,30,-,TROPICAL DEPRESSION
27.80,-71.20,10/18/18Z,30,-,TROPICAL DEPRESSION
28.50,-71.20,10/19/00Z,30,-,TROPICAL DEPRESSION
29.50,-71.30,10/19/06Z,30,-,TROPICAL DEPRESSION
30.80,-71.80,10/19/12Z,35,1000,TROPICAL STORM
32.20,-72.60,10/19/18Z,45,-,TROPICAL STORM
33.40,-73.50,10/20/00Z,55,-,TROPICAL STORM
33.60,-74.30,10/20/06Z,60,-,TROPICAL STORM
33.50,-75.00,10/20/12Z,65,983,HURRICANE-1
33.80,-75.50,10/20/18Z,70,-,HURRICANE-1
34.00,-75.50,10/21/00Z,75,-,HURRICANE-1
34.20,-75.00,10/21/06Z,75,-,HURRICANE-1
34.00,-74.50,10/21/12Z,75,-,HURRICANE-1
33.60,-74.20,10/21/18Z,75,-,HURRICANE-1
33.00,-74.00,10/22/00Z,70,-,HURRICANE-1
32.20,-74.40,10/22/06Z,70,-,HURRICANE-1
31.50,-74.80,10/22/12Z,70,-,HURRICANE-1
30.80,-75.30,10/22/18Z,70,989,HURRICANE-1
30.30,-76.00,10/23/00Z,65,987,HURRICANE-1
29.60,-76.90,10/23/06Z,60,988,TROPICAL STORM
28.90,-77.70,10/23/12Z,60,995,TROPICAL STORM
28.80,-78.20,10/23/18Z,65,990,HURRICANE-1
28.80,-78.50,10/24/00Z,65,988,HURRICANE-1
29.00,-79.00,10/24/06Z,65,-,HURRICANE-1
29.40,-79.60,10/24/12Z,65,990,HURRICANE-1
29.80,-79.70,10/24/18Z,70,987,HURRICANE-1
30.30,-79.60,10/25/00Z,75,982,HURRICANE-1
31.10,-79.70,10/25/06Z,85,-,HURRICANE-2
31.80,-79.60,10/25/12Z,90,976,HURRICANE-2
32.10,-79.00,10/25/18Z,90,985,HURRICANE-2
32.40,-78.10,10/26/00Z,85,-,HURRICANE-2
33.20,-77.30,10/26/06Z,80,988,HURRICANE-1
33.20,-76.90,10/26/12Z,80,986,HURRICANE-1
32.90,-76.50,10/26/18Z,75,978,HURRICANE-1
33.00,-76.00,10/27/00Z,70,979,HURRICANE-1
32.90,-75.90,10/27/06Z,70,980,HURRICANE-1
32.90,-75.30,10/27/12Z,70,972,HURRICANE-1
32.70,-74.60,10/27/18Z,75,975,HURRICANE-1
32.60,-73.40,10/28/00Z,75,-,HURRICANE-1
33.20,-72.90,10/28/06Z,80,-,HURRICANE-1
33.90,-72.30,10/28/12Z,80,968,HURRICANE-1
35.10,-71.50,10/28/18Z,85,963,HURRICANE-2
36.30,-70.30,10/29/00Z,95,-,HURRICANE-2
37.80,-68.80,10/29/06Z,95,-,HURRICANE-2
40.80,-67.20,10/29/12Z,95,958,HURRICANE-2
44.00,-66.00,10/29/18Z,90,-,EXTRATROPICAL STORM-2
47.00,-64.00,10/30/00Z,80,-,EXTRATROPICAL STORM-1
49.00,-63.00,10/30/06Z,80,-,EXTRATROPICAL STORM-1
