LAT,LON,TIME,WIND,PR,STAT
13.10,-44.30,08/20/18Z,30,1003,TROPICAL DEPRESSION
13.40,-46.80,08/21/00Z,35,-,TROPICAL STORM
13.70,-49.10,08/21/06Z,40,1000,TROPICAL STORM
14.10,-51.30,08/21/12Z,65,-,HURRICANE-1
14.40,-53.50,08/21/18Z,70,993,HURRICANE-1
14.90,-55.70,08/22/00Z,75,993,HURRICANE-1
15.30,-57.80,08/22/06Z,100,-,HURRICANE-3
15.70,-59.70,08/22/12Z,110,970,HURRICANE-3
16.00,-61.90,08/22/18Z,115,962,HURRICANE-4
16.20,-63.40,08/23/00Z,120,955,HURRICANE-4
16.30,-65.00,08/23/06Z,125,-,HURRICANE-4
16.50,-66.60,08/23/12Z,130,-,HURRICANE-4
16.70,-68.00,08/23/18Z,135,950,HURRICANE-4
16.70,-69.50,08/24/00Z,135,950,HURRICANE-4
16.90,-70.60,08/24/06Z,135,-,HURRICANE-4
17.10,-71.80,08/24/12Z,135,-,HURRICANE-4
17.80,-73.10,08/24/18Z,130,-,HURRICANE-4
18.40,-74.60,08/25/00Z,130,-,HURRICANE-4
18.90,-75.60,08/25/06Z,125,-,HURRICANE-4
19.40,-76.60,08/25/12Z,100,-,HURRICANE-3
20.00,-77.60,08/25/18Z,70,-,HURRICANE-1
20.80,-78.40,08/26/00Z,65,-,HURRICANE-1
21.50,-78.90,08/26/06Z,65,-,HURRICANE-1
22.40,-79.20,08/26/12Z,65,-,HURRICANE-1
23.70,-79.60,08/26/18Z,80,987,HURRICANE-1
24.60,-79.60,08/27/00Z,90,984,HURRICANE-2
25.50,-79.90,08/27/06Z,90,968,HURRICANE-2
26.30,-80.20,08/27/12Z,85,971,HURRICANE-2
27.20,-80.60,08/27/18Z,75,-,HURRICANE-1
27.80,-80.70,08/28/00Z,60,983,TROPICAL STORM
28.40,-80.90,08/28/06Z,60,-,TROPICAL STORM
29.50,-81.20,08/28/12Z,55,-,TROPICAL STORM
30.20,-81.30,08/28/18Z,50,995,TROPICAL STORM
30.80,-81.30,08/29/00Z,45,999,TROPICAL STORM
31.40,-81.30,08/29/06Z,40,-,TROPICAL STORM
32.00,-81.40,08/29/12Z,35,-,TROPICAL STORM
32.40,-81.60,08/29/18Z,30,-,TROPICAL DEPRESSION
32.90,-81.90,08/30/00Z,30,-,TROPICAL DEPRESSION
33.30,-82.10,08/30/06Z,30,-,TROPICAL DEPRESSION
34.00,-82.00,08/30/12Z,25,-,TROPICAL DEPRESSION
34.60,-81.50,08/30/18Z,25,-,TROPICAL DEPRESSION
35.10,-81.10,08/31/00Z,25,-,TROPICAL DEPRESSION
35.60,-80.30,08/31/06Z,25,-,TROPICAL DEPRESSION
36.00,-79.50,08/31/12Z,25,-,TROPICAL DEPRESSION
36.30,-78.30,08/31/18Z,30,-,TROPICAL DEPRESSION
36.50,-77.00,09/01/00Z,30,-,TROPICAL DEPRESSION
36.30,-76.00,09/01/06Z,35,-,TROPICAL STORM
35.80,-75.20,09/01/12Z,40,-,TROPICAL STORM
35.30,-74.20,09/01/18Z,45,-,TROPICAL STORM
35.00,-73.20,09/02/00Z,55,-,TROPICAL STORM
35.20,-72.10,09/02/06Z,60,-,TROPICAL STORM
35.40,-71.10,09/02/12Z,65,980,HURRICANE-1
35.80,-69.10,09/02/18Z,70,-,HURRICANE-1
35.90,-67.50,09/03/00Z,70,-,HURRICANE-1
36.50,-65.40,09/03/06Z,70,980,HURRICANE-1
37.10,-63.50,09/03/12Z,70,983,HURRICANE-1
37.80,-61.00,09/03/18Z,70,982,HURRICANE-1
38.70,-56.90,09/04/00Z,75,-,HURRICANE-1
41.00,-53.00,09/04/06Z,75,-,HURRICANE-1
44.70,-50.50,09/04/12Z,75,970,HURRICANE-1
46.90,-49.80,09/04/18Z,70,-,HURRICANE-1
48.80,-49.50,09/05/00Z,65,-,HURRICANE-1
51.30,-48.80,09/05/06Z,65,-,HURRICANE-1
53.50,-48.00,09/05/12Z,60,-,TROPICAL STORM
