LAT,LON,TIME,WIND,PR,STAT
9.90,-35.10,09/21/12Z,25,-,TROPICAL DEPRESSION
10.40,-36.00,09/21/18Z,25,-,TROPICAL DEPRESSION
10.90,-37.10,09/22/00Z,25,-,TROPICAL DEPRESSION
11.30,-38.30,09/22/06Z,25,-,TROPICAL DEPRESSION
11.70,-39.40,09/22/12Z,25,-,TROPICAL DEPRESSION
12.00,-40.60,09/22/18Z,25,-,TROPICAL DEPRESSION
12.30,-41.70,09/23/00Z,25,-,TROPICAL DEPRESSION
12.70,-43.10,09/23/06Z,25,-,TROPICAL DEPRESSION
13.10,-44.30,09/23/12Z,30,-,TROPICAL DEPRESSION
13.40,-45.10,09/23/18Z,30,-,TROPICAL DEPRESSION
13.70,-46.00,09/24/00Z,30,-,TROPICAL DEPRESSION
14.00,-46.90,09/24/06Z,30,-,TROPICAL DEPRESSION
14.40,-47.70,09/24/12Z,30,1009,TROPICAL DEPRESSION
14.80,-48.70,09/24/18Z,40,1008,TROPICAL STORM
15.10,-49.70,09/25/00Z,45,-,TROPICAL STORM
15.40,-50.60,09/25/06Z,50,-,TROPICAL STORM
15.60,-51.50,09/25/12Z,55,1000,TROPICAL STORM
15.60,-52.50,09/25/18Z,60,1000,TROPICAL STORM
15.60,-53.60,09/26/00Z,60,-,TROPICAL STORM
15.70,-54.80,09/26/06Z,60,-,TROPICAL STORM
15.80,-56.00,09/26/12Z,70,995,HURRICANE-1
15.80,-57.00,09/26/18Z,75,982,HURRICANE-1
15.90,-58.00,09/27/00Z,80,-,HURRICANE-1
16.00,-59.20,09/27/06Z,95,965,HURRICANE-2
16.10,-60.40,09/27/12Z,105,961,HURRICANE-3
16.20,-61.70,09/27/18Z,110,962,HURRICANE-3
16.30,-63.00,09/28/00Z,110,-,HURRICANE-3
16.50,-64.30,09/28/06Z,115,955,HURRICANE-4
16.80,-65.70,09/28/12Z,120,-,HURRICANE-4
17.00,-67.10,09/28/18Z,130,932,HURRICANE-4
17.10,-68.50,09/29/00Z,130,929,HURRICANE-4
17.30,-69.70,09/29/06Z,125,-,HURRICANE-4
17.50,-70.90,09/29/12Z,120,-,HURRICANE-4
18.10,-72.30,09/29/18Z,100,-,HURRICANE-3
18.80,-73.60,09/30/00Z,80,987,HURRICANE-1
19.30,-74.50,09/30/06Z,90,-,HURRICANE-2
19.80,-75.40,09/30/12Z,100,-,HURRICANE-3
20.20,-76.30,09/30/18Z,65,-,HURRICANE-1
20.50,-77.10,10/01/00Z,65,-,HURRICANE-1
20.80,-78.10,10/01/06Z,65,-,HURRICANE-1
21.20,-79.10,10/01/12Z,65,-,HURRICANE-1
21.90,-79.80,10/01/18Z,65,-,HURRICANE-1
22.60,-80.10,10/02/00Z,65,-,HURRICANE-1
23.00,-80.10,10/02/06Z,65,-,HURRICANE-1
23.30,-79.90,10/02/12Z,55,-,TROPICAL STORM
24.00,-79.50,10/02/18Z,55,999,TROPICAL STORM
24.60,-79.10,10/03/00Z,65,995,HURRICANE-1
24.90,-78.80,10/03/06Z,65,989,HURRICANE-1
25.20,-78.50,10/03/12Z,65,985,HURRICANE-1
25.40,-78.30,10/03/18Z,70,986,HURRICANE-1
25.60,-78.40,10/04/00Z,75,985,HURRICANE-1
25.50,-79.00,10/04/06Z,75,-,HURRICANE-1
25.30,-79.70,10/04/12Z,75,987,HURRICANE-1
25.00,-80.50,10/04/18Z,75,984,HURRICANE-1
24.70,-81.30,10/05/00Z,75,988,HURRICANE-1
24.60,-82.20,10/05/06Z,80,985,HURRICANE-1
24.50,-83.00,10/05/12Z,80,-,HURRICANE-1
24.30,-83.60,10/05/18Z,85,980,HURRICANE-2
24.00,-84.30,10/06/00Z,90,970,HURRICANE-2
23.70,-85.00,10/06/06Z,95,983,HURRICANE-2
23.30,-85.60,10/06/12Z,95,974,HURRICANE-2
22.80,-86.30,10/06/18Z,100,974,HURRICANE-3
22.30,-87.20,10/07/00Z,105,961,HURRICANE-3
22.10,-88.10,10/07/06Z,110,-,HURRICANE-3
21.90,-89.00,10/07/12Z,110,-,HURRICANE-3
21.70,-90.00,10/07/18Z,115,972,HURRICANE-4
21.50,-91.00,10/08/00Z,115,972,HURRICANE-4
21.50,-92.10,10/08/06Z,115,-,HURRICANE-4
21.80,-93.10,10/08/12Z,120,953,HURRICANE-4
22.10,-93.90,10/08/18Z,120,956,HURRICANE-4
22.30,-94.60,10/09/00Z,120,948,HURRICANE-4
22.60,-95.20,10/09/06Z,120,951,HURRICANE-4
22.80,-95.70,10/09/12Z,120,-,HURRICANE-4
23.00,-96.00,10/09/18Z,120,953,HURRICANE-4
23.00,-96.40,10/10/00Z,115,960,HURRICANE-4
23.00,-97.10,10/10/06Z,110,962,HURRICANE-3
22.80,-97.80,10/10/12Z,105,961,HURRICANE-3
22.40,-98.50,10/10/18Z,60,-,TROPICAL STORM
22.10,-99.20,10/11/00Z,30,-,TROPICAL DEPRESSION
21.80,-99.90,10/11/06Z,30,-,TROPICAL DEPRESSION
21.50,-100.60,10/11/12Z,30,-,TROPICAL DEPRESSION
