LAT,LON,TIME,WIND,PR,STAT
10.80,-43.20,09/27/00Z,25,-,TROPICAL DEPRESSION
11.00,-44.50,09/27/06Z,25,-,TROPICAL DEPRESSION
11.20,-45.80,09/27/12Z,25,-,TROPICAL DEPRESSION
11.40,-47.10,09/27/18Z,25,-,TROPICAL DEPRESSION
11.60,-48.40,09/28/00Z,30,-,TROPICAL DEPRESSION
11.90,-49.80,09/28/06Z,30,-,TROPICAL DEPRESSION
12.20,-51.20,09/28/12Z,40,-,TROPICAL STORM
12.50,-52.70,09/28/18Z,40,-,TROPICAL STORM
12.80,-54.20,09/29/00Z,40,1013,TROPICAL STORM
13.10,-56.10,09/29/06Z,40,-,TROPICAL STORM
13.40,-58.00,09/29/12Z,45,-,TROPICAL STORM
13.60,-59.70,09/29/18Z,45,1007,TROPICAL STORM
13.80,-61.20,09/30/00Z,30,-,TROPICAL DEPRESSION
13.80,-62.40,09/30/06Z,30,-,TROPICAL DEPRESSION
13.80,-63.40,09/30/12Z,30,-,TROPICAL DEPRESSION
