LAT,LON,TIME,WIND,PR,STAT
26.50,-50.00,11/04/12Z,25,-,TROPICAL DEPRESSION
26.50,-52.20,11/04/18Z,25,-,TROPICAL DEPRESSION
26.20,-54.00,11/05/00Z,25,-,TROPICAL DEPRESSION
25.60,-55.40,11/05/06Z,25,-,TROPICAL DEPRESSION
25.00,-56.00,11/05/12Z,25,-,TROPICAL DEPRESSION
24.80,-55.70,11/05/18Z,25,998,TROPICAL DEPRESSION
24.50,-55.20,11/06/00Z,25,998,TROPICAL DEPRESSION
24.30,-54.60,11/06/06Z,30,-,TROPICAL DEPRESSION
24.00,-54.00,11/06/12Z,30,-,TROPICAL DEPRESSION
23.90,-53.50,11/06/18Z,50,995,TROPICAL STORM
23.90,-53.00,11/07/00Z,50,-,TROPICAL STORM
23.80,-52.60,11/07/06Z,50,-,TROPICAL STORM
23.70,-52.30,11/07/12Z,55,-,TROPICAL STORM
24.00,-51.40,11/07/18Z,60,986,TROPICAL STORM
24.80,-49.80,11/08/00Z,70,986,HURRICANE-1
25.80,-47.70,11/08/06Z,70,-,HURRICANE-1
27.40,-45.60,11/08/12Z,70,-,HURRICANE-1
30.10,-43.40,11/08/18Z,70,-,HURRICANE-1
32.60,-41.30,11/09/00Z,70,-,HURRICANE-1
34.20,-39.80,11/09/06Z,70,-,HURRICANE-1
35.80,-38.40,11/09/12Z,70,989,HURRICANE-1
37.30,-36.80,11/09/18Z,70,989,HURRICANE-1
38.80,-35.20,11/10/00Z,70,-,HURRICANE-1
40.00,-33.70,11/10/06Z,70,-,HURRICANE-1
41.20,-32.20,11/10/12Z,65,988,HURRICANE-1
42.60,-30.50,11/10/18Z,65,-,HURRICANE-1
43.90,-28.80,11/11/00Z,65,-,HURRICANE-1
45.00,-27.20,11/11/06Z,65,-,HURRICANE-1
45.80,-25.70,11/11/12Z,65,-,HURRICANE-1
46.40,-23.90,11/11/18Z,65,-,HURRICANE-1
46.80,-22.10,11/12/00Z,65,-,EXTRATROPICAL STORM-1
47.00,-21.00,11/12/06Z,60,-,EXTRATROPICAL STORM
46.70,-20.00,11/12/12Z,55,-,EXTRATROPICAL STORM
45.90,-18.60,11/12/18Z,45,-,EXTRATROPICAL STORM
45.00,-17.20,11/13/00Z,45,-,EXTRATROPICAL STORM
44.30,-16.30,11/13/06Z,45,-,EXTRATROPICAL STORM
43.50,-15.50,11/13/12Z,45,1016,EXTRATROPICAL STORM
42.50,-14.80,11/13/18Z,45,-,EXTRATROPICAL STORM
41.20,-14.30,11/14/00Z,45,-,EXTRATROPICAL STORM
