LAT,LON,TIME,WIND,PR,STAT
12.50,-47.00,09/26/12Z,30,-,TROPICAL DEPRESSION
12.60,-48.40,09/26/18Z,30,1005,TROPICAL DEPRESSION
12.80,-49.80,09/27/00Z,30,-,TROPICAL DEPRESSION
13.00,-50.50,09/27/06Z,30,-,TROPICAL DEPRESSION
13.20,-51.20,09/27/12Z,30,1008,TROPICAL DEPRESSION
13.50,-52.10,09/27/18Z,30,1008,TROPICAL DEPRESSION
13.90,-53.00,09/28/00Z,30,1005,TROPICAL DEPRESSION
14.20,-54.00,09/28/06Z,30,-,TROPICAL DEPRESSION
14.40,-55.10,09/28/12Z,40,1002,TROPICAL STORM
14.50,-56.00,09/28/18Z,45,1000,TROPICAL STORM
14.60,-57.00,09/29/00Z,50,-,TROPICAL STORM
14.60,-57.60,09/29/06Z,40,-,TROPICAL STORM
14.70,-58.20,09/29/12Z,35,1007,TROPICAL STORM
14.90,-58.70,09/29/18Z,35,1005,TROPICAL STORM
14.80,-59.80,09/30/00Z,35,-,TROPICAL STORM
14.60,-60.90,09/30/06Z,30,-,TROPICAL DEPRESSION
14.50,-62.00,09/30/12Z,30,1010,TROPICAL DEPRESSION
14.50,-63.00,09/30/18Z,30,1008,TROPICAL DEPRESSION
14.50,-64.00,10/01/00Z,30,-,TROPICAL DEPRESSION
14.50,-64.70,10/01/06Z,30,-,TROPICAL DEPRESSION
14.50,-65.50,10/01/12Z,30,-,TROPICAL DEPRESSION
