LAT,LON,TIME,WIND,PR,STAT
20.50,-54.00,10/19/12Z,25,-,TROPICAL DEPRESSION
20.70,-55.50,10/19/18Z,25,-,TROPICAL DEPRESSION
20.90,-57.00,10/20/00Z,30,-,TROPICAL DEPRESSION
21.00,-58.50,10/20/06Z,30,-,TROPICAL DEPRESSION
21.10,-60.00,10/20/12Z,30,-,TROPICAL DEPRESSION
21.40,-61.50,10/20/18Z,35,1008,TROPICAL STORM
21.90,-62.90,10/21/00Z,40,-,TROPICAL STORM
22.40,-64.10,10/21/06Z,40,-,TROPICAL STORM
23.20,-65.20,10/21/12Z,40,-,TROPICAL STORM
24.50,-66.10,10/21/18Z,40,1005,TROPICAL STORM
25.80,-66.80,10/22/00Z,45,-,TROPICAL STORM
26.90,-67.00,10/22/06Z,50,-,TROPICAL STORM
28.10,-66.50,10/22/12Z,55,1006,TROPICAL STORM
29.40,-65.60,10/22/18Z,60,-,TROPICAL STORM
30.80,-64.30,10/23/00Z,65,995,HURRICANE-1
32.10,-62.70,10/23/06Z,65,-,HURRICANE-1
32.80,-60.90,10/23/12Z,75,-,HURRICANE-1
33.00,-58.50,10/23/18Z,75,-,HURRICANE-1
33.00,-56.20,10/24/00Z,75,-,HURRICANE-1
33.00,-54.50,10/24/06Z,70,-,HURRICANE-1
33.00,-52.90,10/24/12Z,70,999,HURRICANE-1
33.10,-51.30,10/24/18Z,70,-,HURRICANE-1
33.40,-50.10,10/25/00Z,75,-,HURRICANE-1
33.90,-49.30,10/25/06Z,75,-,HURRICANE-1
34.50,-48.50,10/25/12Z,75,989,HURRICANE-1
34.90,-47.70,10/25/18Z,75,-,HURRICANE-1
35.30,-46.90,10/26/00Z,80,-,HURRICANE-1
35.60,-46.30,10/26/06Z,80,-,HURRICANE-1
35.90,-46.10,10/26/12Z,80,-,HURRICANE-1
36.20,-46.10,10/26/18Z,80,981,HURRICANE-1
36.50,-46.20,10/27/00Z,80,-,HURRICANE-1
36.70,-46.20,10/27/06Z,75,-,HURRICANE-1
37.00,-46.00,10/27/12Z,75,991,HURRICANE-1
37.50,-45.60,10/27/18Z,70,-,HURRICANE-1
38.00,-45.10,10/28/00Z,70,-,HURRICANE-1
38.40,-44.60,10/28/06Z,70,-,HURRICANE-1
38.70,-44.10,10/28/12Z,70,994,HURRICANE-1
39.00,-43.90,10/28/18Z,70,-,HURRICANE-1
39.20,-43.90,10/29/00Z,65,-,HURRICANE-1
39.30,-43.90,10/29/06Z,65,-,HURRICANE-1
39.30,-44.10,10/29/12Z,60,-,TROPICAL STORM
39.10,-44.60,10/29/18Z,55,-,TROPICAL STORM
38.80,-45.10,10/30/00Z,50,-,TROPICAL STORM
38.70,-45.60,10/30/06Z,55,-,TROPICAL STORM
38.90,-46.10,10/30/12Z,60,-,TROPICAL STORM
39.50,-46.50,10/30/18Z,60,-,TROPICAL STORM
40.30,-46.70,10/31/00Z,60,-,TROPICAL STORM
41.20,-46.20,10/31/06Z,55,-,TROPICAL STORM
42.10,-45.00,10/31/12Z,55,-,TROPICAL STORM
42.70,-43.60,10/31/18Z,50,-,TROPICAL STORM
43.00,-42.00,11/01/00Z,45,-,EXTRATROPICAL STORM
43.00,-40.30,11/01/06Z,40,-,EXTRATROPICAL STORM
43.00,-38.50,11/01/12Z,40,-,EXTRATROPICAL STORM
43.00,-36.80,11/01/18Z,40,-,EXTRATROPICAL STORM
