LAT,LON,TIME,WIND,PR,STAT
18.30,-79.70,08/14/00Z,30,-,TROPICAL DEPRESSION
18.50,-80.50,08/14/06Z,35,-,TROPICAL STORM
18.80,-81.30,08/14/12Z,45,-,TROPICAL STORM
19.10,-82.00,08/14/18Z,50,-,TROPICAL STORM
19.50,-82.70,08/15/00Z,55,991,TROPICAL STORM
20.00,-83.30,08/15/06Z,65,-,HURRICANE-1
20.60,-83.80,08/15/12Z,90,969,HURRICANE-2
21.30,-84.10,08/15/18Z,95,966,HURRICANE-2
21.90,-84.30,08/15/22Z,95,-,HURRICANE-2
22.30,-84.40,08/16/00Z,90,-,HURRICANE-2
23.10,-85.20,08/16/06Z,105,-,HURRICANE-3
23.80,-86.00,08/16/12Z,130,-,HURRICANE-4
24.30,-86.60,08/16/18Z,150,908,HURRICANE-5
25.20,-87.20,08/17/00Z,150,905,HURRICANE-5
26.00,-87.70,08/17/06Z,145,-,HURRICANE-5
27.00,-88.30,08/17/12Z,140,-,HURRICANE-5
28.30,-88.70,08/17/18Z,135,919,HURRICANE-4
29.40,-89.00,08/18/00Z,140,-,HURRICANE-5
30.30,-89.40,08/18/04Z,150,900,HURRICANE-5
30.70,-89.60,08/18/06Z,115,-,HURRICANE-4
32.00,-89.90,08/18/12Z,75,-,HURRICANE-1
33.40,-90.10,08/18/18Z,50,-,TROPICAL STORM
34.70,-90.00,08/19/00Z,35,-,TROPICAL STORM
36.00,-89.30,08/19/06Z,30,-,TROPICAL DEPRESSION
37.00,-88.00,08/19/12Z,30,-,TROPICAL DEPRESSION
37.60,-86.00,08/19/18Z,25,-,TROPICAL DEPRESSION
37.60,-84.00,08/20/00Z,25,-,TROPICAL DEPRESSION
37.40,-80.60,08/20/06Z,25,-,TROPICAL DEPRESSION
37.20,-77.30,08/20/12Z,30,-,TROPICAL DEPRESSION
37.00,-75.30,08/20/18Z,45,1000,TROPICAL STORM
36.70,-73.60,08/21/00Z,50,-,TROPICAL STORM
36.70,-70.90,08/21/06Z,55,-,TROPICAL STORM
37.10,-68.10,08/21/12Z,60,-,TROPICAL STORM
37.80,-64.70,08/21/18Z,60,-,TROPICAL STORM
39.20,-61.80,08/22/00Z,55,-,TROPICAL STORM
40.80,-58.20,08/22/06Z,45,-,TROPICAL STORM
43.00,-54.00,08/22/12Z,35,-,XXX
