LAT,LON,TIME,WIND,PR,STAT
13.00,-35.50,08/14/12Z,25,-,TROPICAL DEPRESSION
13.30,-37.00,08/14/18Z,25,-,TROPICAL DEPRESSION
13.50,-38.50,08/15/00Z,30,-,TROPICAL DEPRESSION
13.80,-40.00,08/15/06Z,30,-,TROPICAL DEPRESSION
14.00,-41.50,08/15/12Z,35,-,TROPICAL STORM
14.30,-43.00,08/15/18Z,40,-,TROPICAL STORM
14.50,-44.50,08/16/00Z,45,-,TROPICAL STORM
14.70,-45.70,08/16/06Z,50,-,TROPICAL STORM
15.00,-47.00,08/16/12Z,55,-,TROPICAL STORM
15.50,-48.00,08/16/18Z,65,-,HURRICANE-1
16.00,-49.00,08/17/00Z,70,984,HURRICANE-1
16.50,-50.00,08/17/06Z,75,980,HURRICANE-1
17.00,-50.80,08/17/12Z,90,976,HURRICANE-2
17.70,-51.70,08/17/18Z,90,971,HURRICANE-2
18.40,-52.60,08/18/00Z,90,967,HURRICANE-2
19.10,-53.40,08/18/06Z,100,968,HURRICANE-3
19.70,-54.10,08/18/12Z,100,974,HURRICANE-3
20.40,-54.70,08/18/18Z,90,972,HURRICANE-2
21.20,-55.40,08/19/00Z,70,976,HURRICANE-1
21.80,-56.70,08/19/06Z,80,978,HURRICANE-1
22.40,-57.80,08/19/12Z,80,974,HURRICANE-1
23.20,-59.30,08/19/18Z,95,966,HURRICANE-2
23.80,-60.50,08/20/00Z,100,956,HURRICANE-3
24.50,-62.30,08/20/06Z,85,953,HURRICANE-2
25.10,-63.30,08/20/12Z,105,953,HURRICANE-3
25.80,-64.20,08/20/18Z,100,951,HURRICANE-3
26.60,-64.90,08/21/00Z,100,959,HURRICANE-3
27.40,-65.10,08/21/06Z,95,960,HURRICANE-2
28.40,-64.80,08/21/12Z,95,959,HURRICANE-2
29.40,-64.00,08/21/18Z,100,959,HURRICANE-3
30.30,-62.10,08/22/00Z,100,959,HURRICANE-3
31.30,-61.40,08/22/06Z,100,-,HURRICANE-3
32.60,-60.00,08/22/12Z,100,964,HURRICANE-3
34.00,-58.60,08/22/18Z,100,-,HURRICANE-3
35.40,-57.20,08/23/00Z,100,965,HURRICANE-3
36.70,-56.70,08/23/06Z,100,-,HURRICANE-3
39.20,-54.80,08/23/12Z,95,-,HURRICANE-2
41.60,-53.20,08/23/18Z,90,-,HURRICANE-2
43.50,-52.90,08/24/00Z,90,-,HURRICANE-2
45.50,-52.80,08/24/06Z,80,-,HURRICANE-1
48.00,-52.00,08/24/12Z,70,-,HURRICANE-1
50.50,-50.50,08/24/18Z,65,-,HURRICANE-1
53.00,-48.00,08/25/00Z,65,-,HURRICANE-1
56.50,-43.50,08/25/06Z,55,-,TROPICAL STORM
60.90,-37.80,08/25/12Z,55,-,TROPICAL STORM
