LAT,LON,TIME,WIND,PR,STAT
16.00,-47.00,09/20/12Z,25,-,TROPICAL DEPRESSION
16.30,-48.00,09/20/18Z,25,-,TROPICAL DEPRESSION
16.50,-49.00,09/21/00Z,30,-,TROPICAL DEPRESSION
16.70,-50.20,09/21/06Z,35,-,TROPICAL STORM
16.80,-51.10,09/21/12Z,40,1001,TROPICAL STORM
16.90,-51.70,09/21/18Z,45,-,TROPICAL STORM
17.00,-52.30,09/22/00Z,45,-,TROPICAL STORM
17.10,-52.90,09/22/06Z,45,-,TROPICAL STORM
17.20,-53.50,09/22/12Z,50,1007,TROPICAL STORM
17.30,-54.10,09/22/18Z,50,-,TROPICAL STORM
17.40,-54.70,09/23/00Z,55,-,TROPICAL STORM
17.60,-55.40,09/23/06Z,50,-,TROPICAL STORM
17.80,-56.10,09/23/12Z,35,1006,TROPICAL STORM
18.00,-56.90,09/23/18Z,30,-,TROPICAL DEPRESSION
18.20,-57.80,09/24/00Z,30,-,TROPICAL DEPRESSION
18.40,-58.70,09/24/06Z,25,-,TROPICAL DEPRESSION
18.60,-59.60,09/24/12Z,25,1007,TROPICAL DEPRESSION
18.80,-60.30,09/24/18Z,25,-,TROPICAL DEPRESSION
19.00,-60.90,09/25/00Z,30,-,TROPICAL DEPRESSION
19.30,-61.50,09/25/06Z,30,-,TROPICAL DEPRESSION
19.60,-62.00,09/25/12Z,30,-,TROPICAL DEPRESSION
20.00,-62.30,09/25/18Z,25,-,TROPICAL DEPRESSION
20.40,-62.50,09/26/00Z,25,-,TROPICAL DEPRESSION
20.80,-62.80,09/26/06Z,25,-,TROPICAL DEPRESSION
21.20,-63.00,09/26/12Z,25,-,TROPICAL DEPRESSION
21.60,-63.20,09/26/18Z,25,-,TROPICAL DEPRESSION
21.90,-63.30,09/27/00Z,25,-,TROPICAL DEPRESSION
22.20,-63.50,09/27/06Z,25,-,TROPICAL DEPRESSION
22.50,-63.60,09/27/12Z,25,-,TROPICAL DEPRESSION
22.80,-63.70,09/27/18Z,25,-,TROPICAL DEPRESSION
23.00,-63.80,09/28/00Z,25,-,TROPICAL DEPRESSION
23.20,-63.90,09/28/06Z,25,-,TROPICAL DEPRESSION
23.50,-64.00,09/28/12Z,30,1000,TROPICAL DEPRESSION
23.80,-64.20,09/28/18Z,35,-,TROPICAL STORM
24.20,-64.40,09/29/00Z,35,-,TROPICAL STORM
24.50,-64.60,09/29/06Z,40,-,TROPICAL STORM
24.80,-64.80,09/29/12Z,50,992,TROPICAL STORM
