LAT,LON,TIME,WIND,PR,STAT
10.30,-81.00,11/21/12Z,45,-,TROPICAL STORM
10.30,-81.00,11/21/18Z,55,-,TROPICAL STORM
10.30,-81.00,11/22/00Z,65,-,HURRICANE-1
10.30,-81.00,11/22/06Z,70,-,HURRICANE-1
10.30,-81.00,11/22/12Z,80,979,HURRICANE-1
10.20,-81.00,11/22/18Z,75,-,HURRICANE-1
10.10,-81.00,11/23/00Z,70,986,HURRICANE-1
10.00,-81.00,11/23/06Z,65,-,HURRICANE-1
9.80,-81.00,11/23/12Z,60,999,TROPICAL STORM
9.60,-81.00,11/23/18Z,60,-,TROPICAL STORM
9.40,-81.00,11/24/00Z,60,1000,TROPICAL STORM
9.20,-81.00,11/24/06Z,60,-,TROPICAL STORM
9.00,-81.00,11/24/12Z,60,1000,TROPICAL STORM
8.80,-81.10,11/24/18Z,40,-,TROPICAL STORM
8.70,-81.30,11/25/00Z,30,-,TROPICAL DEPRESSION
8.60,-81.60,11/25/06Z,30,-,TROPICAL DEPRESSION
8.50,-82.00,11/25/12Z,25,-,TROPICAL DEPRESSION
