LAT,LON,TIME,WIND,PR,STAT
11.00,-41.00,08/17/12Z,25,-,TROPICAL DEPRESSION
11.30,-42.70,08/17/18Z,25,-,TROPICAL DEPRESSION
11.50,-44.30,08/18/00Z,25,-,TROPICAL DEPRESSION
11.80,-45.90,08/18/06Z,25,-,TROPICAL DEPRESSION
12.00,-47.50,08/18/12Z,30,-,TROPICAL DEPRESSION
12.40,-49.10,08/18/18Z,30,-,TROPICAL DEPRESSION
12.80,-50.70,08/19/00Z,35,-,TROPICAL STORM
13.10,-52.20,08/19/06Z,40,-,TROPICAL STORM
13.30,-53.60,08/19/12Z,50,1000,TROPICAL STORM
13.60,-55.00,08/19/18Z,55,1005,TROPICAL STORM
13.70,-56.50,08/20/00Z,45,1003,TROPICAL STORM
13.80,-58.00,08/20/06Z,55,996,TROPICAL STORM
13.90,-59.50,08/20/12Z,60,998,TROPICAL STORM
14.50,-60.50,08/20/18Z,60,1002,TROPICAL STORM
14.60,-62.00,08/21/00Z,55,-,TROPICAL STORM
14.80,-63.50,08/21/06Z,50,-,TROPICAL STORM
15.00,-64.80,08/21/12Z,45,1006,TROPICAL STORM
15.20,-66.00,08/21/18Z,45,1005,TROPICAL STORM
15.40,-67.20,08/22/00Z,40,1007,TROPICAL STORM
15.60,-68.40,08/22/06Z,40,-,TROPICAL STORM
15.80,-69.60,08/22/12Z,35,-,TROPICAL STORM
15.90,-70.80,08/22/18Z,30,-,TROPICAL DEPRESSION
16.00,-72.00,08/23/00Z,30,-,TROPICAL DEPRESSION
16.10,-73.20,08/23/06Z,30,-,TROPICAL DEPRESSION
16.20,-74.40,08/23/12Z,30,-,TROPICAL DEPRESSION
