LAT,LON,TIME,WIND,PR,STAT
25.50,-71.50,09/06/00Z,25,-,TROPICAL DEPRESSION
25.20,-71.20,09/06/06Z,25,-,TROPICAL DEPRESSION
25.00,-71.00,09/06/12Z,25,-,TROPICAL DEPRESSION
24.80,-70.80,09/06/18Z,25,-,TROPICAL DEPRESSION
24.60,-70.50,09/07/00Z,25,-,TROPICAL DEPRESSION
24.40,-70.30,09/07/06Z,25,-,TROPICAL DEPRESSION
24.30,-69.90,09/07/12Z,25,-,TROPICAL DEPRESSION
24.70,-69.30,09/07/18Z,25,-,TROPICAL DEPRESSION
25.20,-68.80,09/08/00Z,25,-,TROPICAL DEPRESSION
25.50,-68.50,09/08/06Z,25,-,TROPICAL DEPRESSION
25.90,-68.20,09/08/12Z,25,-,TROPICAL DEPRESSION
26.30,-68.00,09/08/18Z,25,-,TROPICAL DEPRESSION
26.60,-67.90,09/09/00Z,25,-,TROPICAL DEPRESSION
26.80,-67.70,09/09/06Z,25,-,TROPICAL DEPRESSION
27.00,-67.60,09/09/12Z,25,1008,TROPICAL DEPRESSION
27.30,-67.40,09/09/18Z,30,-,TROPICAL DEPRESSION
27.60,-67.00,09/10/00Z,30,-,TROPICAL DEPRESSION
27.70,-66.60,09/10/06Z,30,-,TROPICAL DEPRESSION
27.70,-66.10,09/10/12Z,40,1003,TROPICAL STORM
27.70,-65.50,09/10/18Z,45,-,TROPICAL STORM
27.70,-65.00,09/11/00Z,50,-,TROPICAL STORM
27.80,-64.20,09/11/06Z,55,-,TROPICAL STORM
27.90,-63.30,09/11/12Z,65,991,HURRICANE-1
28.30,-62.40,09/11/18Z,65,-,HURRICANE-1
28.90,-61.60,09/12/00Z,70,-,HURRICANE-1
29.60,-60.70,09/12/06Z,75,-,HURRICANE-1
30.30,-59.90,09/12/12Z,75,985,HURRICANE-1
31.10,-59.00,09/12/18Z,80,-,HURRICANE-1
31.70,-58.20,09/13/00Z,80,-,HURRICANE-1
32.30,-57.20,09/13/06Z,85,-,HURRICANE-2
32.70,-56.10,09/13/12Z,85,-,HURRICANE-2
33.00,-54.90,09/13/18Z,90,959,HURRICANE-2
33.30,-53.30,09/14/00Z,95,-,HURRICANE-2
33.60,-52.70,09/14/06Z,90,-,HURRICANE-2
33.70,-50.10,09/14/12Z,85,-,HURRICANE-2
33.30,-48.30,09/14/18Z,80,964,HURRICANE-1
33.00,-48.40,09/15/00Z,75,-,HURRICANE-1
32.90,-48.70,09/15/06Z,75,-,HURRICANE-1
32.80,-49.10,09/15/12Z,70,981,HURRICANE-1
32.70,-49.40,09/15/18Z,70,-,HURRICANE-1
32.70,-49.60,09/16/00Z,70,-,HURRICANE-1
32.70,-49.80,09/16/06Z,70,-,HURRICANE-1
32.70,-50.10,09/16/12Z,65,987,HURRICANE-1
32.70,-50.50,09/16/18Z,65,-,HURRICANE-1
32.70,-51.00,09/17/00Z,65,987,HURRICANE-1
32.70,-51.50,09/17/06Z,65,-,HURRICANE-1
32.70,-51.90,09/17/12Z,65,992,HURRICANE-1
32.60,-52.20,09/17/18Z,65,-,HURRICANE-1
32.50,-52.40,09/18/00Z,65,-,HURRICANE-1
32.30,-52.60,09/18/06Z,65,-,HURRICANE-1
32.10,-52.80,09/18/12Z,65,-,HURRICANE-1
31.80,-52.80,09/18/18Z,65,-,HURRICANE-1
31.40,-52.60,09/19/00Z,65,-,HURRICANE-1
31.00,-52.20,09/19/06Z,65,-,HURRICANE-1
31.00,-51.70,09/19/12Z,65,987,HURRICANE-1
31.20,-51.60,09/19/18Z,65,-,HURRICANE-1
31.40,-51.70,09/20/00Z,65,-,HURRICANE-1
31.60,-51.80,09/20/06Z,65,-,HURRICANE-1
31.70,-52.00,09/20/12Z,65,-,HURRICANE-1
31.80,-52.40,09/20/18Z,65,-,HURRICANE-1
31.70,-53.00,09/21/00Z,65,-,HURRICANE-1
31.60,-53.50,09/21/06Z,65,-,HURRICANE-1
31.50,-54.20,09/21/12Z,65,993,HURRICANE-1
31.40,-55.20,09/21/18Z,65,-,HURRICANE-1
31.30,-56.50,09/22/00Z,65,994,HURRICANE-1
31.30,-57.80,09/22/06Z,65,995,HURRICANE-1
31.20,-59.20,09/22/12Z,65,995,HURRICANE-1
31.10,-60.30,09/22/18Z,80,994,HURRICANE-1
31.00,-61.50,09/23/00Z,80,993,HURRICANE-1
30.90,-62.80,09/23/06Z,80,993,HURRICANE-1
30.80,-64.00,09/23/12Z,75,994,HURRICANE-1
30.50,-65.10,09/23/18Z,75,992,HURRICANE-1
30.10,-66.20,09/24/00Z,75,988,HURRICANE-1
30.00,-67.10,09/24/06Z,75,986,HURRICANE-1
30.00,-67.50,09/24/12Z,70,993,HURRICANE-1
29.90,-67.80,09/24/18Z,70,988,HURRICANE-1
29.80,-68.20,09/25/00Z,70,980,HURRICANE-1
29.60,-68.40,09/25/06Z,70,981,HURRICANE-1
29.40,-68.50,09/25/12Z,75,984,HURRICANE-1
29.20,-68.60,09/25/18Z,75,980,HURRICANE-1
28.80,-68.80,09/26/00Z,75,976,HURRICANE-1
28.40,-69.00,09/26/06Z,70,976,HURRICANE-1
28.20,-69.30,09/26/12Z,65,982,HURRICANE-1
28.00,-69.70,09/26/18Z,70,983,HURRICANE-1
27.90,-70.20,09/27/00Z,70,980,HURRICANE-1
28.00,-70.40,09/27/06Z,75,978,HURRICANE-1
28.20,-70.60,09/27/12Z,80,975,HURRICANE-1
28.40,-70.90,09/27/18Z,80,969,HURRICANE-1
28.70,-71.00,09/28/00Z,80,969,HURRICANE-1
29.10,-71.10,09/28/06Z,80,976,HURRICANE-1
29.50,-71.30,09/28/12Z,80,981,HURRICANE-1
30.00,-71.70,09/28/18Z,85,980,HURRICANE-2
30.50,-72.20,09/29/00Z,85,985,HURRICANE-2
