LAT,LON,TIME,WIND,PR,STAT
35.00,-47.50,11/01/18Z,25,1013,SUBTROPICAL DEPRESSION
34.70,-48.00,11/02/00Z,35,-,SUBTROPICAL STORM
34.40,-48.30,11/02/06Z,35,-,SUBTROPICAL STORM
34.20,-48.60,11/02/12Z,40,1003,SUBTROPICAL STORM
33.80,-48.90,11/02/18Z,40,-,SUBTROPICAL STORM
33.50,-49.20,11/03/00Z,40,1001,SUBTROPICAL STORM
32.70,-49.80,11/03/06Z,40,-,SUBTROPICAL STORM
32.00,-50.00,11/03/12Z,40,1003,SUBTROPICAL STORM
31.00,-50.10,11/03/18Z,40,-,SUBTROPICAL STORM
30.00,-49.70,11/04/00Z,40,1003,SUBTROPICAL STORM
29.80,-48.60,11/04/06Z,40,-,SUBTROPICAL STORM
29.70,-47.60,11/04/12Z,35,1005,SUBTROPICAL STORM
29.80,-46.90,11/04/18Z,35,-,SUBTROPICAL STORM
30.10,-46.30,11/05/00Z,30,1006,SUBTROPICAL DEPRESSION
30.20,-45.60,11/05/06Z,30,-,SUBTROPICAL DEPRESSION
30.30,-45.00,11/05/12Z,30,1008,SUBTROPICAL DEPRESSION
30.30,-44.00,11/05/18Z,30,-,SUBTROPICAL DEPRESSION
30.30,-43.00,11/06/00Z,25,1008,SUBTROPICAL DEPRESSION
30.30,-42.50,11/06/06Z,25,-,SUBTROPICAL DEPRESSION
30.30,-42.10,11/06/12Z,25,1010,SUBTROPICAL DEPRESSION
30.70,-42.00,11/06/18Z,25,-,SUBTROPICAL DEPRESSION
31.00,-42.00,11/07/00Z,25,1011,SUBTROPICAL DEPRESSION
31.20,-42.10,11/07/06Z,25,-,SUBTROPICAL DEPRESSION
31.30,-42.10,11/07/12Z,25,1011,SUBTROPICAL DEPRESSION
32.50,-42.50,11/07/18Z,25,-,SUBTROPICAL DEPRESSION
