LAT,LON,TIME,WIND,PR,STAT
27.50,-79.00,06/27/00Z,25,1013,TROPICAL DEPRESSION
28.50,-79.00,06/27/06Z,25,1013,TROPICAL DEPRESSION
29.50,-79.00,06/27/12Z,25,1013,TROPICAL DEPRESSION
30.50,-79.00,06/27/18Z,25,1013,TROPICAL DEPRESSION
31.50,-78.80,06/28/00Z,25,1012,TROPICAL DEPRESSION
32.40,-78.70,06/28/06Z,25,1012,TROPICAL DEPRESSION
33.30,-78.00,06/28/12Z,25,1011,TROPICAL DEPRESSION
34.00,-77.00,06/28/18Z,30,1006,TROPICAL DEPRESSION
34.40,-75.80,06/29/00Z,35,1004,TROPICAL STORM
34.00,-74.80,06/29/06Z,40,1002,TROPICAL STORM
33.80,-73.80,06/29/12Z,45,1000,TROPICAL STORM
33.80,-72.80,06/29/18Z,50,998,TROPICAL STORM
34.30,-71.60,06/30/00Z,50,998,TROPICAL STORM
35.60,-70.80,06/30/06Z,55,998,TROPICAL STORM
35.90,-70.50,06/30/12Z,60,987,TROPICAL STORM
36.20,-70.20,06/30/18Z,60,987,TROPICAL STORM
36.20,-69.80,07/01/00Z,60,984,TROPICAL STORM
36.20,-69.40,07/01/06Z,60,984,TROPICAL STORM
36.20,-68.30,07/01/12Z,60,984,TROPICAL STORM
36.70,-67.20,07/01/18Z,60,984,TROPICAL STORM
37.40,-66.70,07/02/00Z,60,984,TROPICAL STORM
37.30,-65.90,07/02/06Z,60,984,TROPICAL STORM
37.30,-65.10,07/02/12Z,60,981,TROPICAL STORM
37.30,-64.10,07/02/18Z,60,986,TROPICAL STORM
37.70,-62.80,07/03/00Z,55,986,TROPICAL STORM
38.20,-61.20,07/03/06Z,55,986,TROPICAL STORM
39.30,-59.60,07/03/12Z,55,986,TROPICAL STORM
40.50,-58.00,07/03/18Z,50,986,TROPICAL STORM
42.50,-54.80,07/04/00Z,50,986,TROPICAL STORM
44.50,-51.60,07/04/06Z,50,986,TROPICAL STORM
47.00,-48.00,07/04/12Z,45,995,EXTRATROPICAL STORM
