LAT,LON,TIME,WIND,PR,STAT
33.30,-46.30,08/28/12Z,35,1005,SUBTROPICAL STORM
33.60,-47.50,08/28/18Z,40,1005,SUBTROPICAL STORM
34.50,-48.10,08/29/00Z,40,1005,SUBTROPICAL STORM
34.70,-48.50,08/29/06Z,45,1005,SUBTROPICAL STORM
34.90,-48.90,08/29/12Z,45,1005,TROPICAL STORM
35.20,-49.10,08/29/18Z,50,1000,TROPICAL STORM
35.30,-48.90,08/30/00Z,55,997,TROPICAL STORM
35.30,-48.50,08/30/06Z,55,997,TROPICAL STORM
35.30,-48.00,08/30/12Z,55,997,TROPICAL STORM
35.00,-47.10,08/30/18Z,55,997,TROPICAL STORM
34.90,-46.30,08/31/00Z,65,990,HURRICANE-1
34.80,-45.70,08/31/06Z,65,990,HURRICANE-1
34.70,-45.20,08/31/12Z,70,990,HURRICANE-1
34.60,-44.90,08/31/18Z,70,990,HURRICANE-1
34.50,-44.60,09/01/00Z,75,984,HURRICANE-1
34.60,-44.20,09/01/06Z,75,984,HURRICANE-1
34.90,-44.00,09/01/12Z,75,984,HURRICANE-1
35.40,-44.00,09/01/18Z,75,984,HURRICANE-1
35.80,-44.40,09/02/00Z,90,970,HURRICANE-2
36.40,-44.50,09/02/06Z,95,965,HURRICANE-2
37.00,-44.30,09/02/12Z,95,965,HURRICANE-2
37.70,-44.20,09/02/18Z,95,965,HURRICANE-2
38.40,-43.80,09/03/00Z,95,965,HURRICANE-2
39.70,-43.60,09/03/06Z,95,965,HURRICANE-2
41.10,-43.00,09/03/12Z,95,965,HURRICANE-2
42.00,-42.50,09/03/18Z,90,970,HURRICANE-2
42.80,-42.00,09/04/00Z,60,995,TROPICAL STORM
43.20,-41.40,09/04/06Z,45,1005,EXTRATROPICAL STORM
43.50,-40.70,09/04/12Z,45,1005,EXTRATROPICAL STORM
