LAT,LON,TIME,WIND,PR,STAT
17.50,-54.10,09/13/06Z,25,-,TROPICAL DEPRESSION
17.60,-55.20,09/13/12Z,25,1009,TROPICAL DEPRESSION
17.70,-56.30,09/13/18Z,25,1009,TROPICAL DEPRESSION
17.80,-57.30,09/14/00Z,25,1009,TROPICAL DEPRESSION
17.90,-58.30,09/14/06Z,25,1009,TROPICAL DEPRESSION
18.00,-59.40,09/14/12Z,25,1009,TROPICAL DEPRESSION
18.10,-60.50,09/14/18Z,25,1009,TROPICAL DEPRESSION
18.30,-61.70,09/15/00Z,25,1009,TROPICAL DEPRESSION
18.50,-62.80,09/15/06Z,25,1009,TROPICAL DEPRESSION
18.80,-63.80,09/15/12Z,30,1007,TROPICAL DEPRESSION
18.90,-64.80,09/15/18Z,30,1007,TROPICAL DEPRESSION
19.00,-65.60,09/16/00Z,35,1007,TROPICAL STORM
19.20,-66.70,09/16/06Z,45,1007,TROPICAL STORM
19.40,-67.50,09/16/12Z,55,1002,TROPICAL STORM
19.50,-68.40,09/16/18Z,65,1002,HURRICANE-1
19.60,-69.20,09/17/00Z,65,997,HURRICANE-1
19.70,-70.20,09/17/06Z,60,1000,TROPICAL STORM
19.70,-71.20,09/17/12Z,55,1000,TROPICAL STORM
19.80,-72.20,09/17/18Z,50,1000,TROPICAL STORM
19.90,-73.30,09/18/00Z,45,1000,TROPICAL STORM
19.90,-74.50,09/18/06Z,45,1000,TROPICAL STORM
19.90,-75.70,09/18/12Z,40,1000,TROPICAL STORM
20.00,-77.00,09/18/18Z,40,1000,TROPICAL STORM
20.00,-78.20,09/19/00Z,35,1000,TROPICAL STORM
19.90,-79.10,09/19/06Z,35,1000,TROPICAL STORM
19.90,-79.80,09/19/12Z,35,1000,TROPICAL STORM
19.80,-81.00,09/19/18Z,35,1000,TROPICAL STORM
19.80,-82.20,09/20/00Z,35,1000,TROPICAL STORM
19.80,-83.40,09/20/06Z,35,1000,TROPICAL STORM
19.90,-84.60,09/20/12Z,35,1006,TROPICAL STORM
20.00,-85.50,09/20/18Z,35,1006,TROPICAL STORM
20.20,-86.40,09/21/00Z,40,1001,TROPICAL STORM
20.80,-87.10,09/21/06Z,45,1001,TROPICAL STORM
21.40,-87.80,09/21/12Z,50,1001,TROPICAL STORM
22.40,-88.50,09/21/18Z,55,995,TROPICAL STORM
23.60,-88.90,09/22/00Z,60,995,TROPICAL STORM
24.80,-89.40,09/22/06Z,65,993,HURRICANE-1
25.80,-89.50,09/22/12Z,75,986,HURRICANE-1
26.50,-89.40,09/22/18Z,85,980,HURRICANE-2
27.30,-88.50,09/23/00Z,95,968,HURRICANE-2
28.40,-87.30,09/23/06Z,105,958,HURRICANE-3
30.20,-86.30,09/23/12Z,110,955,HURRICANE-3
33.00,-85.70,09/23/18Z,55,982,TROPICAL STORM
35.50,-84.30,09/24/00Z,30,999,TROPICAL DEPRESSION
36.50,-83.50,09/24/06Z,20,1004,EXTRATROPICAL DEPRESSION
37.00,-82.50,09/24/12Z,20,1004,EXTRATROPICAL DEPRESSION
37.50,-81.50,09/24/18Z,20,1004,EXTRATROPICAL DEPRESSION
