LAT,LON,TIME,WIND,PR,STAT
10.30,-34.80,09/22/18Z,25,1012,TROPICAL DEPRESSION
10.60,-35.80,09/23/00Z,25,1012,TROPICAL DEPRESSION
11.00,-36.70,09/23/06Z,25,1012,TROPICAL DEPRESSION
11.40,-37.40,09/23/12Z,25,1012,TROPICAL DEPRESSION
11.70,-38.20,09/23/18Z,30,1010,TROPICAL DEPRESSION
12.10,-38.80,09/24/00Z,30,1010,TROPICAL DEPRESSION
12.40,-39.60,09/24/06Z,30,1010,TROPICAL DEPRESSION
12.90,-40.00,09/24/12Z,30,1010,TROPICAL DEPRESSION
13.50,-40.40,09/24/18Z,35,1005,TROPICAL STORM
14.20,-41.00,09/25/00Z,40,1005,TROPICAL STORM
14.80,-42.00,09/25/06Z,50,1000,TROPICAL STORM
15.40,-43.00,09/25/12Z,60,1000,TROPICAL STORM
15.80,-44.00,09/25/18Z,65,990,HURRICANE-1
16.20,-45.00,09/26/00Z,65,990,HURRICANE-1
16.40,-46.10,09/26/06Z,65,990,HURRICANE-1
16.60,-47.70,09/26/12Z,65,990,HURRICANE-1
16.80,-49.30,09/26/18Z,65,990,HURRICANE-1
17.10,-50.70,09/27/00Z,65,990,HURRICANE-1
17.60,-52.20,09/27/06Z,65,990,HURRICANE-1
18.20,-53.70,09/27/12Z,65,990,HURRICANE-1
18.80,-55.10,09/27/18Z,65,990,HURRICANE-1
19.40,-56.40,09/28/00Z,65,992,HURRICANE-1
19.60,-57.40,09/28/06Z,65,992,HURRICANE-1
19.80,-58.20,09/28/12Z,65,1000,HURRICANE-1
20.30,-59.30,09/28/18Z,65,998,HURRICANE-1
21.20,-60.30,09/29/00Z,65,995,HURRICANE-1
22.10,-61.40,09/29/06Z,70,990,HURRICANE-1
23.00,-62.60,09/29/12Z,70,990,HURRICANE-1
23.60,-63.90,09/29/18Z,75,985,HURRICANE-1
24.10,-65.20,09/30/00Z,80,975,HURRICANE-1
24.60,-66.50,09/30/06Z,80,975,HURRICANE-1
25.10,-67.90,09/30/12Z,80,975,HURRICANE-1
25.60,-69.30,09/30/18Z,80,975,HURRICANE-1
26.10,-70.60,10/01/00Z,80,975,HURRICANE-1
26.80,-71.70,10/01/06Z,80,975,HURRICANE-1
27.90,-72.40,10/01/12Z,80,975,HURRICANE-1
29.40,-73.00,10/01/18Z,90,969,HURRICANE-2
31.00,-73.00,10/02/00Z,100,954,HURRICANE-3
32.90,-72.10,10/02/06Z,110,942,HURRICANE-3
35.30,-69.80,10/02/12Z,120,939,HURRICANE-4
37.80,-67.00,10/02/18Z,120,939,HURRICANE-4
40.80,-62.60,10/03/00Z,110,950,HURRICANE-3
43.70,-57.00,10/03/06Z,85,960,HURRICANE-2
46.60,-50.60,10/03/12Z,85,960,HURRICANE-2
50.50,-45.50,10/03/18Z,75,975,EXTRATROPICAL STORM-1
55.00,-40.00,10/04/00Z,65,980,EXTRATROPICAL STORM-1
