LAT,LON,TIME,WIND,PR,STAT
31.70,-68.20,08/18/12Z,30,1007,TROPICAL DEPRESSION
33.40,-67.50,08/18/18Z,35,1003,TROPICAL STORM
35.20,-66.40,08/19/00Z,40,996,TROPICAL STORM
36.70,-65.70,08/19/06Z,40,-,TROPICAL STORM
37.70,-65.00,08/19/12Z,40,-,TROPICAL STORM
38.20,-64.00,08/19/18Z,40,999,TROPICAL STORM
38.80,-63.70,08/20/00Z,35,1005,TROPICAL STORM
39.70,-63.30,08/20/06Z,35,1005,TROPICAL STORM
40.20,-62.00,08/20/12Z,35,-,TROPICAL STORM
40.80,-61.00,08/20/18Z,40,997,TROPICAL STORM
41.10,-59.80,08/21/00Z,40,-,TROPICAL STORM
41.20,-59.30,08/21/06Z,65,993,HURRICANE-1
41.00,-59.00,08/21/12Z,65,989,HURRICANE-1
40.50,-58.70,08/21/18Z,65,-,HURRICANE-1
40.30,-58.20,08/22/00Z,65,-,HURRICANE-1
40.80,-57.80,08/22/06Z,70,-,HURRICANE-1
41.00,-57.00,08/22/12Z,70,-,HURRICANE-1
41.30,-56.40,08/22/18Z,80,964,HURRICANE-1
41.70,-55.50,08/23/00Z,80,-,HURRICANE-1
42.40,-54.30,08/23/06Z,80,-,HURRICANE-1
43.10,-53.20,08/23/12Z,80,-,HURRICANE-1
44.40,-51.20,08/23/18Z,80,971,HURRICANE-1
45.90,-48.70,08/24/00Z,80,-,HURRICANE-1
47.30,-45.50,08/24/06Z,65,-,HURRICANE-1
49.90,-42.80,08/24/12Z,65,-,HURRICANE-1
