LAT,LON,TIME,WIND,PR,STAT
26.90,-88.40,08/29/12Z,20,1012,TROPICAL DEPRESSION
27.00,-88.90,08/29/18Z,25,1010,TROPICAL DEPRESSION
26.90,-89.40,08/30/00Z,30,1009,TROPICAL DEPRESSION
26.80,-89.80,08/30/06Z,40,1006,TROPICAL STORM
26.70,-90.30,08/30/12Z,50,1003,TROPICAL STORM
26.50,-90.60,08/30/18Z,65,997,HURRICANE-1
26.40,-91.00,08/31/00Z,70,991,HURRICANE-1
26.30,-91.40,08/31/06Z,75,988,HURRICANE-1
26.20,-91.80,08/31/12Z,75,986,HURRICANE-1
26.10,-92.30,08/31/18Z,80,985,HURRICANE-1
25.90,-92.80,09/01/00Z,80,979,HURRICANE-1
25.80,-93.70,09/01/06Z,85,972,HURRICANE-2
25.50,-94.70,09/01/12Z,90,963,HURRICANE-2
25.20,-95.50,09/01/18Z,110,945,HURRICANE-3
24.60,-96.20,09/02/00Z,140,931,HURRICANE-5
24.20,-97.10,09/02/06Z,150,926,HURRICANE-5
23.70,-98.00,09/02/12Z,120,940,HURRICANE-4
23.10,-99.20,09/02/18Z,70,978,HURRICANE-1
22.50,-101.00,09/03/00Z,40,998,TROPICAL STORM
22.00,-103.00,09/03/06Z,25,1011,TROPICAL DEPRESSION
