LAT,LON,TIME,WIND,PR,STAT
23.50,-72.70,10/28/18Z,30,1008,TROPICAL DEPRESSION
24.20,-73.20,10/29/00Z,40,1002,TROPICAL STORM
24.90,-73.60,10/29/06Z,40,-,TROPICAL STORM
25.70,-73.70,10/29/12Z,55,998,TROPICAL STORM
26.20,-74.10,10/29/18Z,65,995,HURRICANE-1
27.30,-73.70,10/30/00Z,65,-,HURRICANE-1
28.10,-73.50,10/30/06Z,65,-,HURRICANE-1
28.90,-72.60,10/30/12Z,70,990,HURRICANE-1
29.30,-72.30,10/30/18Z,65,998,HURRICANE-1
30.00,-72.00,10/31/00Z,45,1006,TROPICAL STORM
30.50,-72.10,10/31/06Z,45,-,TROPICAL STORM
31.10,-71.90,10/31/12Z,45,-,TROPICAL STORM
31.70,-71.70,10/31/18Z,45,-,TROPICAL STORM
32.60,-70.50,11/01/00Z,45,-,TROPICAL STORM
33.70,-68.20,11/01/06Z,30,1008,EXTRATROPICAL DEPRESSION
35.20,-65.50,11/01/12Z,30,1006,EXTRATROPICAL DEPRESSION
38.00,-60.50,11/01/18Z,40,1002,EXTRATROPICAL STORM
40.50,-55.50,11/02/00Z,40,-,EXTRATROPICAL STORM
41.00,-50.00,11/02/06Z,40,-,EXTRATROPICAL STORM
43.50,-44.00,11/02/12Z,40,-,EXTRATROPICAL STORM
44.50,-39.50,11/02/18Z,40,-,EXTRATROPICAL STORM
46.00,-35.00,11/03/00Z,30,1004,EXTRATROPICAL DEPRESSION
47.50,-31.00,11/03/06Z,30,-,EXTRATROPICAL DEPRESSION
50.00,-27.00,11/03/12Z,30,-,EXTRATROPICAL DEPRESSION
