LAT,LON,TIME,WIND,PR,STAT
10.00,-45.00,06/19/12Z,25,1011,TROPICAL DEPRESSION
10.20,-46.00,06/19/18Z,25,1011,TROPICAL DEPRESSION
10.50,-47.00,06/20/00Z,25,1010,TROPICAL DEPRESSION
10.90,-48.10,06/20/06Z,25,1010,TROPICAL DEPRESSION
11.30,-49.20,06/20/12Z,25,1010,TROPICAL DEPRESSION
11.80,-50.20,06/20/18Z,25,1009,TROPICAL DEPRESSION
12.30,-51.10,06/21/00Z,30,1009,TROPICAL DEPRESSION
12.90,-51.90,06/21/06Z,30,1008,TROPICAL DEPRESSION
13.50,-52.70,06/21/12Z,30,1008,TROPICAL DEPRESSION
13.90,-53.50,06/21/18Z,30,1007,TROPICAL DEPRESSION
14.20,-54.70,06/22/00Z,35,1007,TROPICAL STORM
14.20,-55.80,06/22/06Z,40,1005,TROPICAL STORM
14.20,-56.90,06/22/12Z,50,1006,TROPICAL STORM
14.10,-58.30,06/22/18Z,40,1008,TROPICAL STORM
14.10,-59.80,06/23/00Z,35,1010,TROPICAL STORM
14.00,-61.30,06/23/06Z,30,1012,TROPICAL DEPRESSION
14.00,-62.80,06/23/12Z,25,1012,TROPICAL DEPRESSION
14.00,-64.50,06/23/18Z,25,1012,TROPICAL DEPRESSION
14.00,-66.20,06/24/00Z,25,1012,TROPICAL DEPRESSION
