LAT,LON,TIME,WIND,PR,STAT
25.50,-89.10,08/30/00Z,25,1008,TROPICAL DEPRESSION
26.00,-89.90,08/30/06Z,25,1008,TROPICAL DEPRESSION
26.40,-90.70,08/30/12Z,30,1007,TROPICAL DEPRESSION
26.80,-91.80,08/30/18Z,35,1006,TROPICAL STORM
26.50,-93.00,08/31/00Z,35,1004,TROPICAL STORM
26.80,-93.80,08/31/06Z,35,1006,TROPICAL STORM
27.00,-94.20,08/31/12Z,35,1008,TROPICAL STORM
27.30,-94.70,08/31/18Z,35,1008,TROPICAL STORM
27.60,-95.10,09/01/00Z,35,1008,TROPICAL STORM
27.90,-95.50,09/01/06Z,35,1008,TROPICAL STORM
28.50,-95.80,09/01/12Z,35,1008,TROPICAL STORM
29.00,-95.80,09/01/18Z,30,1008,TROPICAL DEPRESSION
29.60,-95.80,09/02/00Z,25,1008,TROPICAL DEPRESSION
