LAT,LON,TIME,WIND,PR,STAT
15.60,-38.00,09/01/00Z,30,1010,TROPICAL DEPRESSION
15.90,-39.40,09/01/06Z,30,1010,TROPICAL DEPRESSION
16.30,-40.80,09/01/12Z,30,1010,TROPICAL DEPRESSION
16.80,-42.10,09/01/18Z,30,1010,TROPICAL DEPRESSION
17.30,-43.70,09/02/00Z,30,1010,TROPICAL DEPRESSION
17.50,-45.70,09/02/06Z,30,1010,TROPICAL DEPRESSION
17.70,-48.10,09/02/12Z,30,1010,TROPICAL DEPRESSION
17.80,-50.30,09/02/18Z,30,1010,TROPICAL DEPRESSION
17.90,-52.40,09/03/00Z,30,1010,TROPICAL DEPRESSION
18.00,-54.50,09/03/06Z,30,1010,TROPICAL DEPRESSION
18.60,-56.90,09/03/12Z,30,1010,TROPICAL DEPRESSION
19.70,-59.00,09/03/18Z,25,1011,TROPICAL DEPRESSION
21.00,-61.00,09/04/00Z,20,1012,TROPICAL DEPRESSION
22.10,-62.30,09/04/06Z,20,1012,DISTURBANCE
23.40,-63.60,09/04/12Z,20,1013,DISTURBANCE
24.80,-64.80,09/04/18Z,20,1013,DISTURBANCE
26.10,-65.80,09/05/00Z,20,1014,DISTURBANCE
27.50,-67.00,09/05/06Z,20,1014,DISTURBANCE
28.50,-68.60,09/05/12Z,25,1014,SUBTROPICAL DEPRESSION
29.00,-69.40,09/05/18Z,30,1013,SUBTROPICAL DEPRESSION
29.70,-70.00,09/06/00Z,30,1013,SUBTROPICAL DEPRESSION
30.60,-70.00,09/06/06Z,30,1010,SUBTROPICAL DEPRESSION
31.70,-69.60,09/06/12Z,30,1008,SUBTROPICAL DEPRESSION
32.90,-69.10,09/06/18Z,30,1007,SUBTROPICAL DEPRESSION
34.40,-67.90,09/07/00Z,40,1004,TROPICAL STORM
35.90,-65.90,09/07/06Z,45,1002,TROPICAL STORM
37.30,-63.70,09/07/12Z,50,1000,TROPICAL STORM
38.60,-61.50,09/07/18Z,55,997,TROPICAL STORM
40.20,-59.00,09/08/00Z,70,993,HURRICANE-1
42.90,-55.10,09/08/06Z,70,993,HURRICANE-1
45.60,-51.10,09/08/12Z,70,993,HURRICANE-1
48.00,-46.90,09/08/18Z,65,993,HURRICANE-1
