LAT,LON,TIME,WIND,PR,STAT
18.40,-83.60,05/06/18Z,30,1006,TROPICAL DEPRESSION
18.40,-82.70,05/07/00Z,30,1006,TROPICAL DEPRESSION
18.60,-81.70,05/07/06Z,30,1005,TROPICAL DEPRESSION
19.00,-80.60,05/07/12Z,35,1003,TROPICAL STORM
19.60,-79.70,05/07/18Z,40,1000,TROPICAL STORM
20.30,-78.70,05/08/00Z,45,999,TROPICAL STORM
21.10,-77.40,05/08/06Z,30,1003,TROPICAL DEPRESSION
22.40,-76.40,05/08/12Z,30,1006,TROPICAL DEPRESSION
23.00,-74.50,05/08/18Z,50,1004,TROPICAL STORM
23.40,-72.80,05/09/00Z,30,1006,TROPICAL DEPRESSION
24.00,-71.00,05/09/06Z,25,1010,TROPICAL DEPRESSION
