LAT,LON,TIME,WIND,PR,STAT
19.80,-69.50,09/13/12Z,30,1010,TROPICAL DEPRESSION
20.80,-70.20,09/13/18Z,30,1009,TROPICAL DEPRESSION
21.50,-71.00,09/14/00Z,30,1009,TROPICAL DEPRESSION
22.40,-71.80,09/14/06Z,30,1008,TROPICAL DEPRESSION
23.50,-71.90,09/14/12Z,35,1006,TROPICAL STORM
24.60,-71.80,09/14/18Z,55,1000,TROPICAL STORM
25.60,-71.00,09/15/00Z,65,993,HURRICANE-1
26.70,-70.30,09/15/06Z,65,990,HURRICANE-1
27.80,-69.60,09/15/12Z,75,980,HURRICANE-1
29.00,-68.50,09/15/18Z,90,969,HURRICANE-2
30.50,-67.50,09/16/00Z,95,966,HURRICANE-2
32.10,-66.70,09/16/06Z,95,966,HURRICANE-2
33.60,-65.80,09/16/12Z,95,966,HURRICANE-2
35.10,-65.60,09/16/18Z,95,966,HURRICANE-2
36.40,-65.60,09/17/00Z,95,966,HURRICANE-2
36.80,-65.60,09/17/06Z,95,966,HURRICANE-2
37.10,-65.00,09/17/12Z,95,966,HURRICANE-2
37.60,-63.50,09/17/18Z,100,960,HURRICANE-3
38.80,-62.30,09/18/00Z,115,950,HURRICANE-4
40.10,-60.70,09/18/06Z,110,952,HURRICANE-3
41.60,-58.50,09/18/12Z,110,954,HURRICANE-3
43.50,-56.10,09/18/18Z,100,960,HURRICANE-3
45.30,-53.50,09/19/00Z,90,970,HURRICANE-2
47.00,-50.50,09/19/06Z,75,979,HURRICANE-1
48.50,-47.10,09/19/12Z,70,987,HURRICANE-1
50.00,-43.50,09/19/18Z,70,987,HURRICANE-1
50.80,-39.00,09/20/00Z,70,987,HURRICANE-1
51.50,-33.50,09/20/06Z,60,993,TROPICAL STORM
51.80,-26.60,09/20/12Z,50,996,TROPICAL STORM
51.50,-19.00,09/20/18Z,50,996,EXTRATROPICAL STORM
