LAT,LON,TIME,WIND,PR,STAT
27.30,-90.50,08/15/12Z,30,1009,TROPICAL DEPRESSION
27.20,-91.00,08/15/18Z,40,1006,TROPICAL STORM
27.10,-91.50,08/16/00Z,45,1005,TROPICAL STORM
27.00,-92.00,08/16/06Z,50,1004,TROPICAL STORM
27.10,-92.40,08/16/12Z,55,1002,TROPICAL STORM
27.30,-92.80,08/16/18Z,60,998,TROPICAL STORM
27.40,-93.30,08/17/00Z,65,991,HURRICANE-1
27.70,-93.70,08/17/06Z,70,987,HURRICANE-1
27.90,-94.20,08/17/12Z,75,983,HURRICANE-1
28.10,-94.50,08/17/18Z,90,974,HURRICANE-2
28.40,-94.80,08/18/00Z,95,969,HURRICANE-2
28.90,-95.00,08/18/06Z,100,963,HURRICANE-3
29.10,-95.10,08/18/07Z,100,962,HURRICANE-3
29.70,-95.50,08/18/12Z,80,965,HURRICANE-1
30.50,-96.00,08/18/18Z,40,990,TROPICAL STORM
31.50,-96.70,08/19/00Z,35,998,TROPICAL STORM
32.40,-97.40,08/19/06Z,30,1003,TROPICAL DEPRESSION
33.30,-98.00,08/19/12Z,25,1006,TROPICAL DEPRESSION
34.40,-98.50,08/19/18Z,25,1009,TROPICAL DEPRESSION
35.40,-99.00,08/20/00Z,20,1010,TROPICAL DEPRESSION
36.50,-99.40,08/20/06Z,20,1011,EXTRATROPICAL DEPRESSION
37.60,-99.20,08/20/12Z,20,1011,EXTRATROPICAL DEPRESSION
38.90,-99.00,08/20/18Z,20,1011,EXTRATROPICAL DEPRESSION
40.00,-98.00,08/21/00Z,20,1010,EXTRATROPICAL DEPRESSION
41.20,-97.00,08/21/06Z,20,1010,EXTRATROPICAL DEPRESSION
