LAT,LON,TIME,WIND,PR,STAT
36.60,-66.90,08/31/00Z,25,1008,SUBTROPICAL DEPRESSION
37.80,-66.00,08/31/06Z,30,1005,SUBTROPICAL DEPRESSION
38.90,-65.00,08/31/12Z,35,1001,TROPICAL STORM
39.80,-63.10,08/31/18Z,35,999,TROPICAL STORM
40.60,-61.10,09/01/00Z,40,999,TROPICAL STORM
41.70,-59.00,09/01/06Z,40,998,TROPICAL STORM
42.90,-56.90,09/01/12Z,40,998,TROPICAL STORM
44.00,-54.90,09/01/18Z,40,998,TROPICAL STORM
44.90,-53.30,09/02/00Z,45,998,TROPICAL STORM
45.50,-51.80,09/02/06Z,45,997,TROPICAL STORM
46.00,-50.40,09/02/12Z,50,994,TROPICAL STORM
46.20,-48.90,09/02/18Z,50,989,EXTRATROPICAL STORM
