LAT,LON,TIME,WIND,PR,STAT
31.50,-80.50,08/09/18Z,25,1013,SUBTROPICAL DEPRESSION
32.00,-79.00,08/10/00Z,25,1012,SUBTROPICAL DEPRESSION
32.50,-77.50,08/10/06Z,25,1011,SUBTROPICAL DEPRESSION
33.00,-76.50,08/10/12Z,30,1009,SUBTROPICAL DEPRESSION
33.50,-75.30,08/10/18Z,30,1007,SUBTROPICAL DEPRESSION
34.00,-74.00,08/11/00Z,35,1005,TROPICAL STORM
34.30,-72.70,08/11/06Z,35,1004,TROPICAL STORM
34.50,-71.50,08/11/12Z,35,1003,TROPICAL STORM
34.70,-70.30,08/11/18Z,40,1002,TROPICAL STORM
34.80,-69.10,08/12/00Z,40,1001,TROPICAL STORM
34.70,-67.70,08/12/06Z,45,1000,TROPICAL STORM
34.50,-66.40,08/12/12Z,45,999,TROPICAL STORM
34.40,-64.90,08/12/18Z,50,997,TROPICAL STORM
34.50,-63.20,08/13/00Z,50,995,TROPICAL STORM
35.10,-61.50,08/13/06Z,55,993,TROPICAL STORM
35.50,-59.50,08/13/12Z,55,991,TROPICAL STORM
35.30,-57.50,08/13/18Z,60,989,TROPICAL STORM
35.10,-55.00,08/14/00Z,60,988,TROPICAL STORM
35.20,-52.50,08/14/06Z,65,988,HURRICANE-1
35.30,-50.10,08/14/12Z,65,987,HURRICANE-1
35.50,-47.80,08/14/18Z,65,986,HURRICANE-1
35.60,-45.20,08/15/00Z,70,985,HURRICANE-1
35.70,-42.60,08/15/06Z,70,981,HURRICANE-1
35.80,-40.00,08/15/12Z,75,980,HURRICANE-1
36.40,-37.00,08/15/18Z,75,981,HURRICANE-1
37.50,-34.50,08/16/00Z,60,993,TROPICAL STORM
39.20,-31.60,08/16/06Z,45,998,TROPICAL STORM
40.70,-28.70,08/16/12Z,40,1001,TROPICAL STORM
42.60,-25.70,08/16/18Z,40,1003,TROPICAL STORM
44.50,-22.50,08/17/00Z,40,1005,EXTRATROPICAL STORM
