LAT,LON,TIME,WIND,PR,STAT
23.60,-70.80,09/15/18Z,25,1008,TROPICAL DEPRESSION
24.00,-70.10,09/16/00Z,25,1008,TROPICAL DEPRESSION
24.50,-69.40,09/16/06Z,30,1006,TROPICAL DEPRESSION
25.10,-68.00,09/16/12Z,30,1005,TROPICAL DEPRESSION
26.00,-66.50,09/16/18Z,40,1003,TROPICAL STORM
26.70,-64.80,09/17/00Z,45,1001,TROPICAL STORM
27.30,-63.10,09/17/06Z,50,996,TROPICAL STORM
28.10,-61.20,09/17/12Z,55,994,TROPICAL STORM
28.90,-59.80,09/17/18Z,55,994,TROPICAL STORM
29.70,-58.00,09/18/00Z,55,994,TROPICAL STORM
30.20,-56.10,09/18/06Z,55,994,TROPICAL STORM
30.80,-54.40,09/18/12Z,55,994,TROPICAL STORM
31.10,-52.40,09/18/18Z,55,994,TROPICAL STORM
31.50,-50.40,09/19/00Z,55,994,TROPICAL STORM
31.80,-47.00,09/19/06Z,55,994,TROPICAL STORM
32.10,-42.50,09/19/12Z,55,994,TROPICAL STORM
