LAT,LON,TIME,WIND,PR,STAT
10.50,-52.00,09/07/06Z,25,1008,TROPICAL DEPRESSION
11.00,-54.00,09/07/12Z,30,1005,TROPICAL DEPRESSION
11.20,-55.80,09/07/18Z,35,1003,TROPICAL STORM
11.80,-57.50,09/08/00Z,45,1000,TROPICAL STORM
12.20,-59.40,09/08/06Z,50,1000,TROPICAL STORM
12.50,-61.20,09/08/12Z,50,1002,TROPICAL STORM
13.00,-63.00,09/08/18Z,50,1002,TROPICAL STORM
13.40,-64.80,09/09/00Z,45,1004,TROPICAL STORM
13.80,-66.50,09/09/06Z,40,1006,TROPICAL STORM
14.00,-68.50,09/09/12Z,35,1008,TROPICAL STORM
14.50,-70.50,09/09/18Z,30,1010,TROPICAL DEPRESSION
14.80,-72.50,09/10/00Z,30,1012,TROPICAL DEPRESSION
14.90,-75.50,09/10/06Z,30,1012,TROPICAL DEPRESSION
14.80,-78.50,09/10/12Z,30,1013,TROPICAL DEPRESSION
