LAT,LON,TIME,WIND,PR,STAT
14.00,-54.00,09/13/12Z,25,-,TROPICAL DEPRESSION
14.70,-54.80,09/13/18Z,25,-,TROPICAL DEPRESSION
15.00,-55.50,09/14/00Z,30,-,TROPICAL DEPRESSION
15.50,-56.10,09/14/06Z,30,-,TROPICAL DEPRESSION
16.00,-57.00,09/14/12Z,30,-,TROPICAL DEPRESSION
16.50,-57.80,09/14/18Z,30,-,TROPICAL DEPRESSION
17.00,-58.50,09/15/00Z,30,-,TROPICAL DEPRESSION
17.50,-59.20,09/15/06Z,30,-,TROPICAL DEPRESSION
18.00,-60.00,09/15/12Z,30,-,TROPICAL DEPRESSION
18.50,-60.80,09/15/18Z,25,-,TROPICAL DEPRESSION
19.00,-61.80,09/16/00Z,25,-,TROPICAL DEPRESSION
19.50,-62.70,09/16/06Z,25,-,TROPICAL DEPRESSION
20.00,-63.50,09/16/12Z,25,-,TROPICAL DEPRESSION
20.50,-63.90,09/16/18Z,20,-,TROPICAL DEPRESSION
21.00,-64.00,09/17/00Z,20,-,TROPICAL DEPRESSION
21.50,-64.00,09/17/06Z,20,-,TROPICAL DEPRESSION
22.00,-64.00,09/17/12Z,15,-,TROPICAL DEPRESSION
