LAT,LON,TIME,WIND,PR,STAT
15.00,-82.60,10/09/06Z,25,1004,TROPICAL DEPRESSION
14.50,-82.50,10/09/12Z,25,1003,TROPICAL DEPRESSION
14.10,-82.10,10/09/18Z,25,1001,TROPICAL DEPRESSION
14.40,-81.80,10/10/00Z,25,999,TROPICAL DEPRESSION
15.30,-82.20,10/10/06Z,30,999,TROPICAL DEPRESSION
16.00,-82.20,10/10/12Z,35,999,TROPICAL STORM
16.80,-83.50,10/10/18Z,35,999,TROPICAL STORM
17.60,-83.90,10/11/00Z,40,999,TROPICAL STORM
18.40,-84.20,10/11/06Z,40,998,TROPICAL STORM
19.40,-84.50,10/11/12Z,45,997,TROPICAL STORM
20.50,-84.50,10/11/18Z,50,996,TROPICAL STORM
21.70,-84.30,10/12/00Z,55,995,TROPICAL STORM
23.00,-84.00,10/12/06Z,60,994,TROPICAL STORM
24.00,-82.90,10/12/12Z,65,993,HURRICANE-1
24.70,-81.50,10/12/18Z,65,993,HURRICANE-1
25.10,-80.50,10/12/21Z,65,993,HURRICANE-1
25.30,-79.90,10/13/00Z,60,993,TROPICAL STORM
26.00,-78.30,10/13/06Z,50,994,TROPICAL STORM
27.00,-76.90,10/13/12Z,45,996,TROPICAL STORM
28.10,-75.40,10/13/18Z,40,997,EXTRATROPICAL STORM
29.50,-74.00,10/14/00Z,40,998,EXTRATROPICAL STORM
