LAT,LON,TIME,WIND,PR,STAT
8.90,-42.20,10/10/18Z,25,1010,TROPICAL DEPRESSION
9.50,-43.60,10/11/00Z,30,1008,TROPICAL DEPRESSION
10.10,-45.00,10/11/06Z,35,1005,TROPICAL STORM
10.70,-46.40,10/11/12Z,40,1003,TROPICAL STORM
11.20,-47.90,10/11/18Z,45,1000,TROPICAL STORM
11.50,-49.00,10/12/00Z,50,999,TROPICAL STORM
11.80,-50.10,10/12/06Z,45,1000,TROPICAL STORM
12.10,-51.30,10/12/12Z,45,1003,TROPICAL STORM
12.30,-52.50,10/12/18Z,40,1006,TROPICAL STORM
12.40,-53.80,10/13/00Z,40,1007,TROPICAL STORM
12.50,-54.90,10/13/06Z,40,1007,TROPICAL STORM
12.60,-56.00,10/13/12Z,40,1006,TROPICAL STORM
12.70,-57.10,10/13/18Z,40,1005,TROPICAL STORM
12.60,-58.30,10/14/00Z,40,1003,TROPICAL STORM
12.40,-59.40,10/14/06Z,40,1002,TROPICAL STORM
12.20,-60.00,10/14/12Z,45,1001,TROPICAL STORM
12.00,-60.80,10/14/18Z,45,1001,TROPICAL STORM
12.10,-61.50,10/15/00Z,45,1003,TROPICAL STORM
12.10,-61.80,10/15/01Z,45,1003,TROPICAL STORM
12.10,-62.80,10/15/06Z,45,1004,TROPICAL STORM
12.00,-63.80,10/15/12Z,45,1004,TROPICAL STORM
11.90,-64.90,10/15/18Z,45,1003,TROPICAL STORM
12.00,-66.10,10/16/00Z,45,1002,TROPICAL STORM
12.00,-67.20,10/16/06Z,50,1001,TROPICAL STORM
11.90,-68.20,10/16/12Z,50,1000,TROPICAL STORM
12.00,-69.20,10/16/18Z,50,999,TROPICAL STORM
12.00,-70.20,10/17/00Z,55,998,TROPICAL STORM
12.00,-71.20,10/17/06Z,55,997,TROPICAL STORM
11.90,-72.10,10/17/12Z,60,995,TROPICAL STORM
11.80,-73.00,10/17/18Z,60,993,TROPICAL STORM
11.80,-74.00,10/18/00Z,65,990,HURRICANE-1
11.70,-75.00,10/18/06Z,70,987,HURRICANE-1
11.50,-75.80,10/18/12Z,75,984,HURRICANE-1
11.30,-76.50,10/18/18Z,80,980,HURRICANE-1
11.20,-77.20,10/19/00Z,90,976,HURRICANE-2
11.30,-77.80,10/19/06Z,95,970,HURRICANE-2
11.40,-78.30,10/19/12Z,105,960,HURRICANE-3
11.30,-78.90,10/19/18Z,110,953,HURRICANE-3
11.30,-79.30,10/20/00Z,105,956,HURRICANE-3
11.10,-79.80,10/20/06Z,85,967,HURRICANE-2
11.10,-79.50,10/20/12Z,70,971,HURRICANE-1
11.30,-79.90,10/20/18Z,70,973,HURRICANE-1
11.50,-80.30,10/21/00Z,75,972,HURRICANE-1
11.50,-80.70,10/21/06Z,90,970,HURRICANE-2
11.60,-81.20,10/21/12Z,100,964,HURRICANE-3
11.80,-81.80,10/21/18Z,110,952,HURRICANE-3
11.90,-82.50,10/22/00Z,120,937,HURRICANE-4
11.90,-83.20,10/22/06Z,125,932,HURRICANE-4
11.90,-83.70,10/22/10Z,125,932,HURRICANE-4
11.90,-83.90,10/22/12Z,120,936,HURRICANE-4
12.00,-85.00,10/22/18Z,70,983,HURRICANE-1
12.10,-85.90,10/23/00Z,55,993,TROPICAL STORM
12.20,-86.80,10/23/06Z,45,1000,TROPICAL STORM
