LAT,LON,TIME,WIND,PR,STAT
14.80,-41.80,07/31/06Z,25,1010,TROPICAL DEPRESSION
15.00,-44.10,07/31/12Z,25,1009,TROPICAL DEPRESSION
15.10,-46.00,07/31/18Z,30,1008,TROPICAL DEPRESSION
15.40,-47.60,08/01/00Z,30,1006,TROPICAL DEPRESSION
15.80,-49.30,08/01/06Z,35,1004,TROPICAL STORM
16.10,-51.10,08/01/12Z,40,1002,TROPICAL STORM
16.40,-52.90,08/01/18Z,45,1000,TROPICAL STORM
16.60,-54.60,08/02/00Z,50,998,TROPICAL STORM
16.90,-56.40,08/02/06Z,60,996,TROPICAL STORM
17.30,-58.10,08/02/12Z,65,994,HURRICANE-1
17.90,-59.50,08/02/18Z,70,992,HURRICANE-1
18.50,-60.70,08/03/00Z,70,990,HURRICANE-1
18.90,-61.70,08/03/06Z,70,987,HURRICANE-1
19.30,-62.70,08/03/12Z,75,985,HURRICANE-1
19.70,-63.40,08/03/18Z,75,985,HURRICANE-1
20.10,-63.80,08/04/00Z,75,986,HURRICANE-1
20.40,-63.90,08/04/06Z,75,986,HURRICANE-1
20.90,-63.90,08/04/12Z,75,985,HURRICANE-1
21.60,-63.80,08/04/18Z,75,984,HURRICANE-1
22.50,-63.80,08/05/00Z,75,983,HURRICANE-1
23.50,-63.80,08/05/06Z,75,983,HURRICANE-1
24.70,-63.90,08/05/12Z,75,980,HURRICANE-1
26.00,-64.00,08/05/18Z,75,980,HURRICANE-1
27.60,-64.30,08/06/00Z,75,979,HURRICANE-1
29.20,-64.60,08/06/06Z,80,978,HURRICANE-1
30.80,-65.00,08/06/12Z,80,975,HURRICANE-1
32.40,-65.10,08/06/18Z,85,971,HURRICANE-2
34.00,-64.90,08/07/00Z,90,968,HURRICANE-2
35.60,-64.50,08/07/06Z,90,969,HURRICANE-2
37.50,-64.00,08/07/12Z,85,979,HURRICANE-2
39.40,-63.40,08/07/18Z,80,972,HURRICANE-1
41.70,-62.10,08/08/00Z,75,975,HURRICANE-1
44.10,-59.70,08/08/06Z,65,978,HURRICANE-1
46.50,-56.50,08/08/12Z,55,991,TROPICAL STORM
46.90,-55.90,08/08/13Z,55,991,TROPICAL STORM
48.80,-53.20,08/08/18Z,45,995,TROPICAL STORM
50.80,-48.10,08/09/00Z,40,1000,TROPICAL STORM
51.80,-41.90,08/09/06Z,35,1003,TROPICAL STORM
