LAT,LON,TIME,WIND,PR,STAT
11.30,-44.00,09/16/18Z,25,1017,TROPICAL DEPRESSION
11.20,-46.00,09/17/00Z,30,1010,TROPICAL DEPRESSION
11.20,-48.00,09/17/06Z,30,1009,TROPICAL DEPRESSION
11.30,-50.00,09/17/12Z,30,1008,TROPICAL DEPRESSION
11.50,-51.70,09/17/18Z,30,1007,TROPICAL DEPRESSION
11.90,-53.20,09/18/00Z,35,1005,TROPICAL STORM
12.60,-54.60,09/18/06Z,35,1004,TROPICAL STORM
14.00,-55.50,09/18/12Z,40,1003,TROPICAL STORM
15.60,-56.10,09/18/18Z,45,1002,TROPICAL STORM
17.00,-56.80,09/19/00Z,50,1001,TROPICAL STORM
18.10,-57.50,09/19/06Z,55,1001,TROPICAL STORM
19.20,-58.20,09/19/12Z,60,1001,TROPICAL STORM
20.00,-59.20,09/19/18Z,60,1001,TROPICAL STORM
20.50,-60.30,09/20/00Z,50,1002,TROPICAL STORM
20.90,-61.30,09/20/06Z,40,1003,TROPICAL STORM
21.30,-62.20,09/20/12Z,35,1005,TROPICAL STORM
21.70,-63.10,09/20/18Z,35,1007,TROPICAL STORM
21.90,-64.10,09/21/00Z,30,1008,TROPICAL DEPRESSION
22.20,-65.10,09/21/06Z,30,1010,TROPICAL DEPRESSION
22.40,-66.00,09/21/12Z,25,1011,TROPICAL DEPRESSION
22.50,-67.00,09/21/18Z,25,1012,TROPICAL DEPRESSION
