LAT,LON,TIME,WIND,PR,STAT
13.20,-79.50,08/04/00Z,25,1009,TROPICAL DEPRESSION
13.90,-80.80,08/04/06Z,25,1008,TROPICAL DEPRESSION
14.80,-81.80,08/04/12Z,25,1007,TROPICAL DEPRESSION
15.70,-82.60,08/04/18Z,30,1006,TROPICAL DEPRESSION
16.60,-83.60,08/05/00Z,35,1005,TROPICAL STORM
17.40,-84.80,08/05/06Z,40,1003,TROPICAL STORM
18.30,-86.30,08/05/12Z,45,1000,TROPICAL STORM
19.10,-87.60,08/05/18Z,55,994,TROPICAL STORM
19.70,-88.70,08/06/00Z,45,1000,TROPICAL STORM
20.20,-90.00,08/06/06Z,45,1000,TROPICAL STORM
20.50,-91.10,08/06/12Z,45,1000,TROPICAL STORM
20.60,-92.30,08/06/18Z,50,1000,TROPICAL STORM
20.60,-93.60,08/07/00Z,60,998,TROPICAL STORM
20.70,-94.70,08/07/06Z,65,990,HURRICANE-1
20.80,-95.80,08/07/12Z,75,986,HURRICANE-1
20.90,-96.80,08/07/18Z,85,980,HURRICANE-2
20.90,-97.00,08/07/19Z,85,980,HURRICANE-2
20.80,-98.10,08/08/00Z,55,1000,TROPICAL STORM
20.70,-99.40,08/08/06Z,50,1005,TROPICAL STORM
20.80,-100.80,08/08/12Z,30,1009,TROPICAL DEPRESSION
21.10,-102.20,08/08/18Z,25,1010,TROPICAL DEPRESSION
21.60,-103.40,08/09/00Z,25,1010,TROPICAL DEPRESSION
22.00,-104.90,08/09/06Z,20,1010,TROPICAL DEPRESSION
22.50,-107.00,08/09/12Z,20,1010,TROPICAL DEPRESSION
