LAT,LON,TIME,WIND,PR,STAT
12.60,-45.90,08/24/06Z,25,1010,TROPICAL DEPRESSION
12.90,-46.90,08/24/12Z,30,1009,TROPICAL DEPRESSION
13.20,-48.00,08/24/18Z,30,1007,TROPICAL DEPRESSION
13.30,-49.00,08/25/00Z,35,1005,TROPICAL STORM
13.50,-50.10,08/25/06Z,40,1004,TROPICAL STORM
13.70,-51.20,08/25/12Z,45,1002,TROPICAL STORM
13.80,-52.30,08/25/18Z,50,1000,TROPICAL STORM
14.00,-53.30,08/26/00Z,55,997,TROPICAL STORM
14.20,-54.40,08/26/06Z,60,993,TROPICAL STORM
14.50,-55.50,08/26/12Z,65,990,HURRICANE-1
15.00,-56.40,08/26/18Z,70,984,HURRICANE-1
15.30,-57.00,08/27/00Z,75,980,HURRICANE-1
15.90,-57.70,08/27/06Z,85,973,HURRICANE-2
16.60,-58.00,08/27/12Z,90,967,HURRICANE-2
17.30,-58.20,08/27/18Z,95,965,HURRICANE-2
18.10,-58.20,08/28/00Z,95,966,HURRICANE-2
19.00,-58.10,08/28/06Z,90,969,HURRICANE-2
20.00,-58.00,08/28/12Z,85,973,HURRICANE-2
21.10,-58.00,08/28/18Z,80,978,HURRICANE-1
22.20,-57.80,08/29/00Z,75,981,HURRICANE-1
22.90,-57.80,08/29/06Z,70,984,HURRICANE-1
23.70,-57.80,08/29/12Z,75,982,HURRICANE-1
24.40,-57.80,08/29/18Z,75,979,HURRICANE-1
25.20,-57.80,08/30/00Z,80,975,HURRICANE-1
26.00,-57.80,08/30/06Z,85,972,HURRICANE-2
27.00,-57.80,08/30/12Z,90,968,HURRICANE-2
27.80,-57.80,08/30/18Z,95,963,HURRICANE-2
28.90,-57.70,08/31/00Z,100,958,HURRICANE-3
30.30,-57.50,08/31/06Z,105,956,HURRICANE-3
31.70,-57.20,08/31/12Z,100,959,HURRICANE-3
33.00,-56.50,08/31/18Z,100,961,HURRICANE-3
34.40,-55.60,09/01/00Z,95,964,HURRICANE-2
35.60,-54.50,09/01/06Z,90,967,HURRICANE-2
36.80,-53.20,09/01/12Z,85,970,HURRICANE-2
38.00,-52.00,09/01/18Z,80,974,HURRICANE-1
39.40,-50.90,09/02/00Z,75,978,HURRICANE-1
40.70,-49.80,09/02/06Z,70,982,HURRICANE-1
42.10,-48.60,09/02/12Z,65,985,HURRICANE-1
43.80,-48.00,09/02/18Z,60,988,TROPICAL STORM
46.00,-46.50,09/03/00Z,55,993,TROPICAL STORM
48.50,-44.50,09/03/06Z,55,997,EXTRATROPICAL STORM
